recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.06925892001392286,0.03862236418606649,55,0.049967903431862866
SLIMElasticNetRecommender,0.07210466692633709,0.07105950557606706,159,0.04909934229828202
SLIMElasticNetRecommender,0.016544215903788462,0.09385583409949563,87,0.0502678729127418
SLIMElasticNetRecommender,0.07014159513945667,0.08933972573725868,94,0.0487464121055697
SLIMElasticNetRecommender,0.05446029609883196,0.08216642295076708,125,0.04969541904779921
SLIMElasticNetRecommender,0.06184367579722398,0.0396695593213007,95,0.0504472706247741
SLIMElasticNetRecommender,0.06607878579114114,0.026110455104389543,145,0.050758841551865434
SLIMElasticNetRecommender,0.09171651001203422,0.020656012042000384,280,0.05039236194209096
SLIMElasticNetRecommender,0.0675177732095369,0.06067050164715972,63,0.0497041510409432
SLIMElasticNetRecommender,0.051112934478875396,0.02958135275185913,186,0.05101570342561465
SLIMElasticNetRecommender,0.05581178625437706,0.05263322723236082,158,0.05052710967664146
SLIMElasticNetRecommender,0.03679396715823507,0.08543603751787252,119,0.05062140687036904
SLIMElasticNetRecommender,0.0479106315120804,0.02047033255142937,223,0.051285714699478395
SLIMElasticNetRecommender,0.01645600212769166,0.034131088540691266,157,0.04918947651501748
SLIMElasticNetRecommender,0.011393484311469552,0.04006858509114236,292,0.04883345840639236
SLIMElasticNetRecommender,0.041853285688557666,0.01653973129200162,298,0.05155884272009215
SLIMElasticNetRecommender,0.03032676962773742,0.08995005016957504,293,0.050868856578251485
SLIMElasticNetRecommender,0.07517920477936123,0.03658325051279587,105,0.050331983639820194
SLIMElasticNetRecommender,0.013228371809275523,0.05560731205290445,192,0.04952820325207361
SLIMElasticNetRecommender,0.017212360292666967,0.09311910765525944,85,0.050352169476805875
SLIMElasticNetRecommender,0.028748792179855646,0.030002117180352617,241,0.05132537742421308
SLIMElasticNetRecommender,0.06878202684569618,0.07302879930886343,181,0.04922742209441653
SLIMElasticNetRecommender,0.06118622002171549,0.03583160113505294,196,0.05069742436570005
SLIMElasticNetRecommender,0.05133714342277963,0.06143759721081915,97,0.050364128039795536
SLIMElasticNetRecommender,0.060830961627573704,0.06036769793037799,211,0.04995873813686
SLIMElasticNetRecommender,0.06970916098483994,0.039988229782600186,181,0.05030938444304776
SLIMElasticNetRecommender,0.0573597265733249,0.06848936775373496,250,0.049888487126799226
SLIMElasticNetRecommender,0.013907896795810499,0.04931016792412501,270,0.050025836016556524
SLIMElasticNetRecommender,0.02828410631544511,0.09792537470866744,215,0.050950641975337774
SLIMElasticNetRecommender,0.031633004864213374,0.010096176625708858,287,0.05109982830796548
SLIMElasticNetRecommender,0.023119287163012286,0.09943205022885258,164,0.05106419007559831
SLIMElasticNetRecommender,0.08332309877925079,0.03877667310997481,69,0.04990072448747679
SLIMElasticNetRecommender,0.08383490435893803,0.03744977519782641,68,0.049930862493040705
SLIMElasticNetRecommender,0.07886191240573438,0.08405632928039665,97,0.04845754353285341
SLIMElasticNetRecommender,0.0524467379400132,0.08761280484570173,294,0.049710113166399054
SLIMElasticNetRecommender,0.030447493050779983,0.034056189949783565,163,0.05109813286622461
SLIMElasticNetRecommender,0.07886959351551694,0.03386428430810411,188,0.05024693083882168
SLIMElasticNetRecommender,0.05433107682146005,0.09127384481772297,120,0.04951068629087033
