recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.2400059069417762,0.7146744982978659,719,0.0399882426458069
RP3betaRecommender,0.5205017367395075,0.14442856484303893,927,0.04096929623016473
RP3betaRecommender,0.32151931985567145,0.5695550812949252,458,0.04675071466497382
RP3betaRecommender,0.11932306175196015,0.7243930477393339,401,0.03710711752383319
RP3betaRecommender,0.49931810477896055,0.179957706533879,930,0.041201753725600886
RP3betaRecommender,0.8369926156821345,0.14494707305249666,222,0.04543332144970657
RP3betaRecommender,0.4648694298523619,0.7547743418371539,703,0.03974810274737702
RP3betaRecommender,0.8604230252870183,0.21382369237149534,153,0.0468505717503585
RP3betaRecommender,0.7105774155188341,0.3484588180097785,465,0.043820698897778225
RP3betaRecommender,0.5600599020640676,0.2943581001886384,577,0.04290863434838033
RP3betaRecommender,0.32595997883798056,0.3543440007585138,420,0.04514118042099288
RP3betaRecommender,0.26924599355039347,0.16295934098728174,215,0.0465590600190556
RP3betaRecommender,0.18651266304388595,0.21786068778523024,160,0.0477869245620495
RP3betaRecommender,0.8612330841428569,0.3112773726432761,108,0.048025670115316006
RP3betaRecommender,0.5264120167716431,0.16593552197020447,180,0.047052387807644015
RP3betaRecommender,0.15952569394716748,0.272047181441937,638,0.04294229885512855
RP3betaRecommender,0.7113246586514537,0.3125298070914091,40,0.04922351655194468
RP3betaRecommender,0.877515679514357,0.20784832537687362,546,0.041827728204690495
RP3betaRecommender,0.3130609787252028,0.6463197788958374,51,0.044905383290860794
RP3betaRecommender,0.8947846882349834,0.8652926362837879,17,0.02972448929426676
RP3betaRecommender,0.5623647925385092,0.5537951258139125,492,0.0469642294043606
RP3betaRecommender,0.10345577784666977,0.7649914998805402,454,0.03362444786255123
RP3betaRecommender,0.3118753487897954,0.21807752492510515,47,0.04814291564383002
RP3betaRecommender,0.53047444124778,0.5291871738611997,1000,0.046766625258219674
RP3betaRecommender,0.4168661459978166,0.20693368461662853,579,0.0421375740850936
RP3betaRecommender,0.8478566739244058,0.8588671019275771,913,0.03065783306323421
RP3betaRecommender,0.7494379184983976,0.7959262587650409,213,0.03863956444456719
RP3betaRecommender,0.2644079737933773,0.23194356073554856,422,0.04376104518855286
RP3betaRecommender,0.8875510827475396,0.6217219303773048,697,0.04727799792329244
RP3betaRecommender,0.7491437215032618,0.2945493418816988,774,0.04234953885653464
RP3betaRecommender,0.10033643587372039,0.2956847260638257,197,0.04694473667950172
