recommender,alpha,beta,MAP
RP3beta_ItemKNNCF,0.7800439074092622,0.2693872808858673,0.04990459614249918
RP3beta_ItemKNNCF,0.5870294601523689,0.9198011329411584,0.0480177031518168
RP3beta_ItemKNNCF,0.7114396306103093,0.36057448140305404,0.04953979157237137
RP3beta_ItemKNNCF,0.5113388100268859,0.7275689802722272,0.04817306937966751
RP3beta_ItemKNNCF,0.3343248788451125,0.9679034094594205,0.04736022317863079
RP3beta_ItemKNNCF,0.6501948485996746,0.39423582914862343,0.049248381623833964
RP3beta_ItemKNNCF,0.5517013534029219,0.2443078037768791,0.04965158423058972
RP3beta_ItemKNNCF,0.9373350885733264,0.6962722894038391,0.049010284032173244
RP3beta_ItemKNNCF,0.675380586330956,0.1192717465996107,0.05019899762122304
RP3beta_ItemKNNCF,0.10800021098229917,0.1502342907563876,0.04822028588112765
RP3beta_ItemKNNCF,0.9275753713492282,0.5961716705873766,0.04923260245723254
RP3beta_ItemKNNCF,0.7087999174516566,0.16304417129215332,0.0502525105707775
RP3beta_ItemKNNCF,0.7919062901420355,0.9043875908592998,0.04843473002309889
RP3beta_ItemKNNCF,0.5258685644585088,0.807507419114221,0.04804123225774021
RP3beta_ItemKNNCF,0.6203695471194528,0.7504391622653158,0.04839126435034142
RP3beta_ItemKNNCF,0.7226886794444836,0.6592064055941531,0.04877155563879363
RP3beta_ItemKNNCF,0.4984474740993293,0.9895711273138399,0.04772818718970221
RP3beta_ItemKNNCF,0.47235666505798357,0.011851074407770334,0.05023251447308772
RP3beta_ItemKNNCF,0.46473082493518836,0.9508730833823451,0.047682479615692074
RP3beta_ItemKNNCF,0.522839987039284,0.8357514612541769,0.04798487185839681
RP3beta_ItemKNNCF,0.3638375868526831,0.993674186042104,0.04738781625380617
RP3beta_ItemKNNCF,0.4208993373586156,0.38933421471957796,0.04874631333096761
RP3beta_ItemKNNCF,0.8174193247345448,0.21458614262314868,0.0501424310212065
RP3beta_ItemKNNCF,0.711365419546815,0.26680673443511915,0.04983129894557189
RP3beta_ItemKNNCF,0.35278228447163196,0.06594226401020331,0.05024799410989173
RP3beta_ItemKNNCF,0.4653348933713256,0.584831275156843,0.04832365029195523
RP3beta_ItemKNNCF,0.6360933832546631,0.01833761875300155,0.05026695668451053
RP3beta_ItemKNNCF,0.5674584722394133,0.7928676831572143,0.048206203134542845
RP3beta_ItemKNNCF,0.47030302196784357,0.10569212113667403,0.050278426974790506
RP3beta_ItemKNNCF,0.6144052985126424,0.8262476459138921,0.048257159030967854
RP3beta_ItemKNNCF,0.2831546645855749,0.3427813312148327,0.048392174799458086
RP3beta_ItemKNNCF,0.264477402319824,0.8528739087333405,0.04721342329438258
RP3beta_ItemKNNCF,0.8460485499083846,0.57783500825416,0.049164895776380335
RP3beta_ItemKNNCF,0.6656588004789658,0.319537894688972,0.04958617608957242
RP3beta_ItemKNNCF,0.9770481635006723,0.9970655175271038,0.04859444532484719
RP3beta_ItemKNNCF,0.8422638785923852,0.6011504295625208,0.04908366334857132
RP3beta_ItemKNNCF,0.7151417082018167,0.19474736878289745,0.050119041959897574
RP3beta_ItemKNNCF,0.8009691050893198,0.4956918216927493,0.04924517596808151
RP3beta_ItemKNNCF,0.3630736639812938,0.09791942239619111,0.050106486749728986
RP3beta_ItemKNNCF,0.2568750238199272,0.6712740555929206,0.047440730297682365
RP3beta_ItemKNNCF,0.7716495299539377,0.8045168662756749,0.048558490113070264
RP3beta_ItemKNNCF,0.6047844373169247,0.5536507351535237,0.04875978120891497
RP3beta_ItemKNNCF,0.6002981746121047,0.8447744629945867,0.0482023712447722
RP3beta_ItemKNNCF,0.22154972767415015,0.2299755165802443,0.04857281218453267
RP3beta_ItemKNNCF,0.22269542015701194,0.18753979121499487,0.04888726716232112
RP3beta_ItemKNNCF,0.1166752345069797,0.7907063289185682,0.046687194459194635
RP3beta_ItemKNNCF,0.342841922383501,0.3927089507340281,0.04843662581939956
RP3beta_ItemKNNCF,0.12161659647082312,0.8883958534443692,0.04665567724118242
RP3beta_ItemKNNCF,0.1793766435820734,0.012541591696947907,0.0504156354011897
RP3beta_ItemKNNCF,0.3851111568312052,0.6834068871922623,0.04786279102040645
RP3beta_ItemKNNCF,0.05311698001914378,0.3487909744063752,0.04670599102483136
RP3beta_ItemKNNCF,0.18056573594467173,0.9069860197557064,0.046867409740746456
RP3beta_ItemKNNCF,0.18696560946929175,0.9336191581163333,0.04687598612468907
RP3beta_ItemKNNCF,0.24169511604713967,0.23961491584066907,0.048629131159946916
RP3beta_ItemKNNCF,0.5931907000783283,0.5193792650885232,0.0488081267676515
RP3beta_ItemKNNCF,0.3988212778574799,0.03825144713475814,0.050445450744200905
RP3beta_ItemKNNCF,0.8202591862872908,0.9755629951046394,0.048398641471132285
RP3beta_ItemKNNCF,0.12959543394979212,0.5730636166875714,0.046934233292220795
RP3beta_ItemKNNCF,0.7228218336941349,0.8321837700382205,0.048429868307876545
RP3beta_ItemKNNCF,0.8163505851843313,0.5277261392512346,0.04923521523495137
RP3beta_ItemKNNCF,0.4757538976284176,0.8449373281661567,0.04786397768775028
RP3beta_ItemKNNCF,0.7225205568244374,0.8822082598198611,0.04838348276305604
RP3beta_ItemKNNCF,0.687360381112726,0.6035024054444927,0.04880324543349859
RP3beta_ItemKNNCF,0.059630455286667994,0.5622322936613608,0.04656889775654774
RP3beta_ItemKNNCF,0.7771501602830968,0.36454908222474947,0.04958125801100688
RP3beta_ItemKNNCF,0.5353406142628007,0.8311748225079764,0.04802473336321522
RP3beta_ItemKNNCF,0.4192682284666225,0.8649843157344834,0.0476705726355779
RP3beta_ItemKNNCF,0.909058767581121,0.4582707782800367,0.049547878636971514
RP3beta_ItemKNNCF,0.6932749438685747,0.23475562357449942,0.049906552392702315
RP3beta_ItemKNNCF,0.7075924520946273,0.651956466871661,0.048754368294003224
RP3beta_ItemKNNCF,0.8448326857445366,0.18390529663838173,0.0502673773081708
