recommender,alpha,beta,MAP
Slim_RP3beta_ItemKNNCF,0.6415444316889992,0.8504416911463945,0.052539260714567805
Slim_RP3beta_ItemKNNCF,0.8168602012591013,0.3834994531440843,0.052743989631205655
Slim_RP3beta_ItemKNNCF,0.1372738929218863,0.22711220017334588,0.052498692600950116
Slim_RP3beta_ItemKNNCF,0.9171445533995763,0.3667199708469947,0.05269218501979017
Slim_RP3beta_ItemKNNCF,0.7176111609552159,0.06718459310828284,0.052203897051890595
Slim_RP3beta_ItemKNNCF,0.121713788740194,0.46905777771587776,0.05242521011744278
Slim_RP3beta_ItemKNNCF,0.15754334288308558,0.6069166482485945,0.05242521011744278
Slim_RP3beta_ItemKNNCF,0.7711613319652172,0.02702575605274582,0.05142730930996614
Slim_RP3beta_ItemKNNCF,0.7062666188584394,0.03493744030782131,0.05174199845190005
Slim_RP3beta_ItemKNNCF,0.7740274953205519,0.1466943515171788,0.052598652852085946
Slim_RP3beta_ItemKNNCF,0.4033305601420835,0.7013148182215335,0.052492988431067526
Slim_RP3beta_ItemKNNCF,0.995873399660019,0.35641147245140387,0.052715187518723526
Slim_RP3beta_ItemKNNCF,0.9922828344879795,0.3027387424283622,0.052733709393075985
Slim_RP3beta_ItemKNNCF,0.46894219323669056,0.30459817228447245,0.05264304042625841
Slim_RP3beta_ItemKNNCF,0.893788771814215,0.5501660322002186,0.052649993947819496
Slim_RP3beta_ItemKNNCF,0.9829776018998517,0.23806478422643412,0.052779778889682126
Slim_RP3beta_ItemKNNCF,0.5728674523126611,0.46117658530090405,0.05261336441169692
Slim_RP3beta_ItemKNNCF,0.36140286840556746,0.9659035949315121,0.052432849804513564
Slim_RP3beta_ItemKNNCF,0.8302073763595472,0.19734971222184658,0.0527760637822996
Slim_RP3beta_ItemKNNCF,0.8800146732352907,0.18505974217028331,0.05270304478097463
Slim_RP3beta_ItemKNNCF,0.5935038285147933,0.11804147738389403,0.0526346972512731
Slim_RP3beta_ItemKNNCF,0.8356631342936843,0.2624771650255632,0.05276884114395031
Slim_RP3beta_ItemKNNCF,0.8534163156910638,0.2154684187816113,0.05278864028727857
Slim_RP3beta_ItemKNNCF,0.9420714926540205,0.2158634398134472,0.0527735154055379
Slim_RP3beta_ItemKNNCF,0.28187182347104256,0.14305565432869483,0.052734162546551056
Slim_RP3beta_ItemKNNCF,0.672804694206505,0.41434954567260784,0.05264867242013349
Slim_RP3beta_ItemKNNCF,0.812730367714105,0.10402963714699516,0.05234660679292119
Slim_RP3beta_ItemKNNCF,0.9994322727442191,0.274251852461991,0.05273956756237382
Slim_RP3beta_ItemKNNCF,0.8799836202383956,0.002381395488378013,0.05046225174300434
Slim_RP3beta_ItemKNNCF,0.607497054186216,0.7102210315688755,0.052552175192271476
Slim_RP3beta_ItemKNNCF,0.5396148529950927,0.5808059360294575,0.052569665809748124
Slim_RP3beta_ItemKNNCF,0.9352852154115422,0.1829579459085977,0.05262567654368702
Slim_RP3beta_ItemKNNCF,0.9522739929056999,0.2190381588121047,0.05278054270021728
Slim_RP3beta_ItemKNNCF,0.8398185837224622,0.3281748238795194,0.052693465227214374
Slim_RP3beta_ItemKNNCF,0.7573754180455701,0.2340574753798557,0.052746537665729315
Slim_RP3beta_ItemKNNCF,0.9522927449488284,0.0905958030754053,0.05223012498440314
Slim_RP3beta_ItemKNNCF,0.6601861597528549,0.4189382456429127,0.05265790961997912
Slim_RP3beta_ItemKNNCF,0.8505307500185949,0.18432522656992306,0.05275021182858756
Slim_RP3beta_ItemKNNCF,0.8014283129115248,0.2487045689592334,0.05275171014303721
Slim_RP3beta_ItemKNNCF,0.9232580977945881,0.35405643713845375,0.05269361827551569
Slim_RP3beta_ItemKNNCF,0.02825822945769474,0.07785593273107333,0.05245514392687048
Slim_RP3beta_ItemKNNCF,0.9549792420049206,0.20862905548269395,0.05274476412038206
Slim_RP3beta_ItemKNNCF,0.9054198255215404,0.1599154939313857,0.05253075605755841
Slim_RP3beta_ItemKNNCF,0.7394564690336367,0.2308406699664265,0.05275977935603119
Slim_RP3beta_ItemKNNCF,0.9497963482396825,0.052857847079669146,0.051841595932088015
Slim_RP3beta_ItemKNNCF,0.7034655685991021,0.3956558467030652,0.0526752472140527
Slim_RP3beta_ItemKNNCF,0.8716850776108649,0.2942961118937558,0.05277899385857863
Slim_RP3beta_ItemKNNCF,0.7780274282142362,0.2828558502851731,0.05272574237480069
Slim_RP3beta_ItemKNNCF,0.8778314182415188,0.4959807420363663,0.05267022129882073
Slim_RP3beta_ItemKNNCF,0.844202410424717,0.3469169059069374,0.05271796808904585
Slim_RP3beta_ItemKNNCF,0.9817639019747332,0.31673448217000455,0.05279450991747591
Slim_RP3beta_ItemKNNCF,0.978089094475576,0.3150178433624527,0.05279666112927367
Slim_RP3beta_ItemKNNCF,0.9980061630979741,0.28584329685213394,0.05273091374209848
Slim_RP3beta_ItemKNNCF,0.9687270878693177,0.4360874378644064,0.052729906119564955
Slim_RP3beta_ItemKNNCF,0.911146944902311,0.329959678431769,0.052729870332151214
Slim_RP3beta_ItemKNNCF,0.8774475759884991,0.3870096201482971,0.0527204815226715
Slim_RP3beta_ItemKNNCF,0.9696544285335722,0.31403677308103506,0.052796134741841035
Slim_RP3beta_ItemKNNCF,0.9767253805476893,0.1482234260630556,0.052430418726213145
Slim_RP3beta_ItemKNNCF,0.908903130434108,0.46181971345151207,0.05273165463128723
Slim_RP3beta_ItemKNNCF,0.9327145742818796,0.257793591573336,0.05274133079621617
Slim_RP3beta_ItemKNNCF,0.9671868350777697,0.3786456450686657,0.05268784203238754
Slim_RP3beta_ItemKNNCF,0.8664795464908746,0.3097391583480363,0.052722547835899
Slim_RP3beta_ItemKNNCF,0.8090783192426579,0.3142161121847833,0.052695809390637414
Slim_RP3beta_ItemKNNCF,0.9047669648049965,0.12812166101744996,0.05238063407197532
Slim_RP3beta_ItemKNNCF,0.9925840927831128,0.5262316681843551,0.0527140547158421
Slim_RP3beta_ItemKNNCF,0.2063743925348696,0.6710746386386646,0.05244327122216607
Slim_RP3beta_ItemKNNCF,0.4620541403722735,0.21937593756764598,0.052743878096919945
Slim_RP3beta_ItemKNNCF,0.9393209816537476,0.8671985348445899,0.052583021247112754
Slim_RP3beta_ItemKNNCF,0.8896707549051327,0.27206000904509453,0.052738702508233815
Slim_RP3beta_ItemKNNCF,0.9708160197030564,0.35535371185650183,0.052730869219919284
Slim_RP3beta_ItemKNNCF,0.7841071837556831,0.1704425715067273,0.05275712218424607
Slim_RP3beta_ItemKNNCF,0.8291376552445286,0.2123798681506812,0.05277552422232459
Slim_RP3beta_ItemKNNCF,0.8559406653289003,0.18964867832632443,0.05275570328124087
Slim_RP3beta_ItemKNNCF,0.9218921696531674,0.25270259874911843,0.052741750684245775
