recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,100,258,rp3beta,bm25plus,0.04065634288418083
ItemKNNCFRecommender,91,912,rp3beta,tfidf,0.04075298791993753
ItemKNNCFRecommender,135,689,rp3beta,tfidf,0.03941636944380709
ItemKNNCFRecommender,180,1676,rp3beta,bm25plus,0.03859644460106998
ItemKNNCFRecommender,96,141,rp3beta,bm25plus,0.0411180669314615
ItemKNNCFRecommender,23,866,rp3beta,tfidf,0.04361569112369671
ItemKNNCFRecommender,26,1886,rp3beta,tfidf,0.043382172584906536
ItemKNNCFRecommender,79,1593,rp3beta,tfidf,0.04115815758274514
ItemKNNCFRecommender,30,213,rp3beta,tfidf,0.043791759838026356
ItemKNNCFRecommender,44,326,rp3beta,tfidf,0.04301878115994601
ItemKNNCFRecommender,67,1092,rp3beta,bm25plus,0.04153929543859893
ItemKNNCFRecommender,13,971,rp3beta,tfidf,0.044050427651128876
ItemKNNCFRecommender,62,126,rp3beta,tfidf,0.04244052602187179
ItemKNNCFRecommender,78,1918,rp3beta,tfidf,0.041213478887237635
ItemKNNCFRecommender,179,470,rp3beta,bm25plus,0.03849171334091642
ItemKNNCFRecommender,188,167,rp3beta,tfidf,0.03815047408151134
ItemKNNCFRecommender,131,275,rp3beta,tfidf,0.039549452363750855
ItemKNNCFRecommender,42,1666,rp3beta,bm25plus,0.042405141022102494
ItemKNNCFRecommender,33,821,rp3beta,tfidf,0.04317443392205578
ItemKNNCFRecommender,199,1329,rp3beta,bm25plus,0.038174276732040525
ItemKNNCFRecommender,135,517,rp3beta,tfidf,0.03946518758029002
ItemKNNCFRecommender,110,849,rp3beta,bm25plus,0.04011441653875433
ItemKNNCFRecommender,12,902,rp3beta,tfidf,0.04419521627358038
ItemKNNCFRecommender,123,1626,rp3beta,bm25plus,0.03989455536913001
ItemKNNCFRecommender,20,1899,rp3beta,bm25plus,0.04328809658423156
ItemKNNCFRecommender,67,1059,rp3beta,bm25plus,0.04154359280150811
ItemKNNCFRecommender,194,212,rp3beta,tfidf,0.03800263370267682
ItemKNNCFRecommender,32,1003,rp3beta,bm25plus,0.04289916155568139
ItemKNNCFRecommender,83,731,rp3beta,bm25plus,0.04104091264364104
ItemKNNCFRecommender,197,1171,rp3beta,bm25plus,0.038164421637286
ItemKNNCFRecommender,125,1162,rp3beta,bm25plus,0.039769775915506754
ItemKNNCFRecommender,126,1331,rp3beta,tfidf,0.03967743481851835
ItemKNNCFRecommender,54,405,rp3beta,tfidf,0.04239281459488443
ItemKNNCFRecommender,100,1135,rp3beta,tfidf,0.04040741102987922
ItemKNNCFRecommender,22,1240,rp3beta,bm25plus,0.043325673789214016
ItemKNNCFRecommender,140,1193,rp3beta,tfidf,0.03935699053134404
ItemKNNCFRecommender,42,1156,rp3beta,bm25plus,0.0424491737574629
ItemKNNCFRecommender,30,1554,rp3beta,tfidf,0.0431899587292994
ItemKNNCFRecommender,85,510,rp3beta,bm25plus,0.04103817916545196
ItemKNNCFRecommender,17,1429,rp3beta,tfidf,0.04379919441270467
ItemKNNCFRecommender,123,1743,rp3beta,tfidf,0.039824549658625995
ItemKNNCFRecommender,170,1352,rp3beta,bm25plus,0.03876154618156191
ItemKNNCFRecommender,184,580,rp3beta,tfidf,0.038249254146096416
ItemKNNCFRecommender,48,696,rp3beta,tfidf,0.0425411972141058
ItemKNNCFRecommender,59,1324,rp3beta,tfidf,0.04179963453216223
ItemKNNCFRecommender,176,781,rp3beta,tfidf,0.03838147866743385
ItemKNNCFRecommender,101,1918,rp3beta,tfidf,0.040456114748404166
ItemKNNCFRecommender,41,1918,rp3beta,bm25plus,0.0424649440874423
ItemKNNCFRecommender,102,1605,rp3beta,tfidf,0.040393857408178545
ItemKNNCFRecommender,93,1321,rp3beta,bm25plus,0.04063206364954731
ItemKNNCFRecommender,136,1837,rp3beta,tfidf,0.03951531238834087
ItemKNNCFRecommender,70,804,rp3beta,tfidf,0.04142254121766742
ItemKNNCFRecommender,50,1897,rp3beta,bm25plus,0.042174196012305265
ItemKNNCFRecommender,167,1456,rp3beta,tfidf,0.038723364150545565
ItemKNNCFRecommender,170,929,rp3beta,tfidf,0.03853012533777741
ItemKNNCFRecommender,184,221,rp3beta,bm25plus,0.038381355190127614
ItemKNNCFRecommender,113,584,rp3beta,tfidf,0.04002988162129787
ItemKNNCFRecommender,50,1151,rp3beta,tfidf,0.042323691039104196
ItemKNNCFRecommender,144,1911,rp3beta,tfidf,0.039301094907534945
ItemKNNCFRecommender,116,1766,rp3beta,bm25plus,0.040099792535943334
ItemKNNCFRecommender,164,1331,rp3beta,tfidf,0.03877137230514332
ItemKNNCFRecommender,20,1910,rp3beta,bm25plus,0.043283476696841884
ItemKNNCFRecommender,102,1957,rp3beta,bm25plus,0.0404485333346002
ItemKNNCFRecommender,32,115,rp3beta,bm25plus,0.043612371148221356
ItemKNNCFRecommender,122,1382,rp3beta,tfidf,0.03978442702845842
ItemKNNCFRecommender,197,717,rp3beta,tfidf,0.03796154293183984
ItemKNNCFRecommender,15,116,rp3beta,bm25plus,0.04381284912273545
ItemKNNCFRecommender,92,1616,rp3beta,tfidf,0.040702171679714065
ItemKNNCFRecommender,136,1951,rp3beta,bm25plus,0.03960388719887589
ItemKNNCFRecommender,99,848,rp3beta,bm25plus,0.040422344706495035
ItemKNNCFRecommender,183,1912,rp3beta,tfidf,0.03837636251725355
ItemKNNCFRecommender,143,1099,rp3beta,bm25plus,0.039356099144794814
ItemKNNCFRecommender,78,1297,rp3beta,tfidf,0.041167014525814956
ItemKNNCFRecommender,109,1560,rp3beta,bm25plus,0.04024263412734167
ItemKNNCFRecommender,147,989,rp3beta,tfidf,0.03916006681958406
ItemKNNCFRecommender,16,1556,rp3beta,bm25plus,0.043373807280792466
ItemKNNCFRecommender,93,182,rp3beta,tfidf,0.040972599457706295
ItemKNNCFRecommender,200,1940,rp3beta,tfidf,0.0380201582990475
ItemKNNCFRecommender,132,421,rp3beta,bm25plus,0.039604088665256436
ItemKNNCFRecommender,190,1486,rp3beta,bm25plus,0.03838997785316176
ItemKNNCFRecommender,152,1817,rp3beta,bm25plus,0.039228620163356674
