recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.07971090325241849,0.03337705616786462,89,0.020279965357568538
SLIMElasticNetRecommender,0.09413013185102818,0.09952469136326499,163,0.01938025538427003
SLIMElasticNetRecommender,0.031134127310870223,0.09064077679005943,110,0.020386248132261614
SLIMElasticNetRecommender,0.045011455632107,0.018019686587461402,195,0.02033035799565488
SLIMElasticNetRecommender,0.040102712729289204,0.09008040928460612,225,0.02042503899130656
SLIMElasticNetRecommender,0.08914964169614197,0.017459060412808772,256,0.02046278889232045
SLIMElasticNetRecommender,0.031068605492310615,0.049977725939766245,124,0.020236739943961288
SLIMElasticNetRecommender,0.017757990219500197,0.06684970754324682,133,0.019696051465447312
SLIMElasticNetRecommender,0.037354309394489936,0.07215587765622451,284,0.020522161755500982
SLIMElasticNetRecommender,0.045766398244917995,0.04436126080266972,266,0.020573893904094375
SLIMElasticNetRecommender,0.06864859119483362,0.04165942977361184,296,0.02041761789655534
SLIMElasticNetRecommender,0.056546886190693896,0.06761206822516537,298,0.020323707750768288
SLIMElasticNetRecommender,0.05891127919902298,0.06729478844500637,247,0.020307559921731704
SLIMElasticNetRecommender,0.014764838075901468,0.05490032771236805,51,0.01820924206191508
SLIMElasticNetRecommender,0.045355381299585336,0.07476946128944892,268,0.02043485818624737
SLIMElasticNetRecommender,0.027457593411715674,0.03780324643582111,210,0.020165308856177667
SLIMElasticNetRecommender,0.06353819070905073,0.07770071227972276,272,0.020113442257709623
SLIMElasticNetRecommender,0.048397080012894785,0.02835240299253912,234,0.020561316505019384
SLIMElasticNetRecommender,0.07143045360983818,0.02478973777673817,231,0.020485593099062397
SLIMElasticNetRecommender,0.049315149451987825,0.02721774311480683,180,0.020479100766127727
SLIMElasticNetRecommender,0.051823120410390354,0.04537009169484576,161,0.02047216669961394
SLIMElasticNetRecommender,0.0353447662668416,0.05732679129360677,280,0.020572126611593612
SLIMElasticNetRecommender,0.026780161438633206,0.05778395422931678,241,0.02040344902046795
SLIMElasticNetRecommender,0.039989610738217565,0.010045272854345116,212,0.020139072966737424
SLIMElasticNetRecommender,0.021588005340379544,0.03256175120563485,264,0.019859557914344277
SLIMElasticNetRecommender,0.03562910502166964,0.05721080325681729,240,0.020551789424348346
SLIMElasticNetRecommender,0.04744991037184742,0.051374072891653064,270,0.020531624757617137
SLIMElasticNetRecommender,0.010692066232200613,0.04410315657679815,285,0.018503618899162997
SLIMElasticNetRecommender,0.0559573182956247,0.03320833502519514,210,0.02052535379488502
