recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.03325450683746387,0.07534765828927895,158,0.019988551464121148
SLIMElasticNetRecommender,0.05958131335896142,0.0646770338306228,167,0.019791715478281666
SLIMElasticNetRecommender,0.035623312827955916,0.05451601230437883,72,0.019650837571569043
SLIMElasticNetRecommender,0.04232386945232548,0.018908262553889065,160,0.01974558856542886
SLIMElasticNetRecommender,0.06084553418351355,0.08920636363332955,132,0.019561778343195998
SLIMElasticNetRecommender,0.03486381136513238,0.0997549639365186,197,0.01996008399819105
SLIMElasticNetRecommender,0.036749916073441295,0.09890840333325356,103,0.019834861712914452
SLIMElasticNetRecommender,0.06786081844779285,0.073939081160213,124,0.019566505480665602
SLIMElasticNetRecommender,0.0864965814338734,0.045243123844118965,296,0.019706350752408366
SLIMElasticNetRecommender,0.060141909549574143,0.09952882507623144,285,0.01951200021508399
SLIMElasticNetRecommender,0.011769614223005563,0.030989383912774615,222,0.017793128707849982
SLIMElasticNetRecommender,0.01741826896565133,0.07982463932623399,215,0.019608199785207423
SLIMElasticNetRecommender,0.027301279286580143,0.08084264303939485,215,0.02001163921809784
SLIMElasticNetRecommender,0.02419048514903232,0.07124998712525711,239,0.01995882220414058
SLIMElasticNetRecommender,0.04608339562079064,0.057811029554348387,252,0.020018185180316884
SLIMElasticNetRecommender,0.046563037425645736,0.05043660003074809,259,0.02004840790369511
SLIMElasticNetRecommender,0.049464369629116954,0.04443544555593602,259,0.020047428542275484
SLIMElasticNetRecommender,0.07772295967553587,0.03944798911862461,273,0.019865903839639633
SLIMElasticNetRecommender,0.04950445889149261,0.015364098897601479,256,0.01992999931115114
SLIMElasticNetRecommender,0.09819055791428538,0.031189610941725877,189,0.01977380316723414
SLIMElasticNetRecommender,0.07569938977805588,0.04969407681091294,265,0.019783601373261055
SLIMElasticNetRecommender,0.048143840350878646,0.06070627098278249,248,0.019996412126075332
SLIMElasticNetRecommender,0.049309159834868194,0.04002842556921195,235,0.02005157477639787
SLIMElasticNetRecommender,0.05472677523176379,0.03682155880388567,232,0.020012398938534934
SLIMElasticNetRecommender,0.06999896328978973,0.026658618907041055,276,0.019985841312809737
SLIMElasticNetRecommender,0.052347858018972,0.04463612376557906,294,0.020034299159874067
SLIMElasticNetRecommender,0.0431275207095164,0.05063546648949361,202,0.020026677748017613
SLIMElasticNetRecommender,0.04136017971252581,0.02469312650541426,230,0.019896622597762505
SLIMElasticNetRecommender,0.06400025471587047,0.04149357559337326,270,0.01997011806452194
SLIMElasticNetRecommender,0.028932876973357866,0.036061008691835615,185,0.01964811732881574
SLIMElasticNetRecommender,0.05514705434230377,0.010490409928973307,243,0.01992255065552823
SLIMElasticNetRecommender,0.053718236745334325,0.04571953261717801,299,0.020040158877940677
SLIMElasticNetRecommender,0.05544799085453209,0.06567683790128123,299,0.019900933380552453
SLIMElasticNetRecommender,0.03768320371834341,0.053629972126302994,282,0.020078312390472742
SLIMElasticNetRecommender,0.039730297924117274,0.06469273315928109,264,0.020042701632993005
SLIMElasticNetRecommender,0.030470251743849763,0.04905645443539303,281,0.019973935704115316
SLIMElasticNetRecommender,0.02269072269028556,0.05446174360324909,60,0.019062001753309594
SLIMElasticNetRecommender,0.035237980092119314,0.05512644878845981,258,0.020080368233573464
SLIMElasticNetRecommender,0.03475295399992325,0.055508623917548384,207,0.020004552577012034
SLIMElasticNetRecommender,0.03789948156013462,0.060256525618918796,174,0.02001779168115211
SLIMElasticNetRecommender,0.04402134042980975,0.05258515995198901,140,0.019961579470383
SLIMElasticNetRecommender,0.03260194665435515,0.041662147000653904,261,0.019937856652993323
SLIMElasticNetRecommender,0.04866085399655898,0.04747171781514171,280,0.020045596203997828
SLIMElasticNetRecommender,0.039403752863597825,0.06875159531772225,234,0.020022469357732213
SLIMElasticNetRecommender,0.05992746828374208,0.034867736024950705,247,0.019986581059730113
SLIMElasticNetRecommender,0.04603793140182715,0.0416267008241543,254,0.020073030468574175
SLIMElasticNetRecommender,0.019380956576152793,0.060283311753713514,286,0.01967102928671703
SLIMElasticNetRecommender,0.03424407352259932,0.031025653721674203,95,0.01953616693828471
SLIMElasticNetRecommender,0.044306053986592514,0.05838026057103554,222,0.02001874541366505
SLIMElasticNetRecommender,0.03647572256693704,0.05411154765334357,152,0.019931462161779708
