recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.5339933041279117,0.39602619568522923,550,0.01848642870553723
RP3betaRecommender,0.6270950245512578,0.7717544443161802,133,0.014783609620279478
RP3betaRecommender,0.665987929938155,0.49587785921689675,941,0.018649597060592677
RP3betaRecommender,0.33282183038218716,0.8094154215068106,163,0.012644214698912337
RP3betaRecommender,0.11350860703448343,0.1512121877816588,410,0.017237782787514856
RP3betaRecommender,0.45152742226065345,0.36500372662886105,675,0.018139892916960283
RP3betaRecommender,0.6407630351436802,0.49816951112857166,954,0.018673637403292205
RP3betaRecommender,0.2959739228865817,0.6381184376088828,742,0.017717003170242027
RP3betaRecommender,0.49975194148981217,0.7891846895202964,927,0.01212890732037753
RP3betaRecommender,0.46985621899580143,0.31662998063888975,822,0.01759564261000954
RP3betaRecommender,0.8937889606947257,0.6258256713271978,379,0.01839121377912675
RP3betaRecommender,0.7451341387789263,0.5220592623168644,985,0.01845419477618102
RP3betaRecommender,0.7242422195267078,0.5128709329457393,982,0.01853024933117449
RP3betaRecommender,0.7773978546484455,0.24263697163254444,827,0.017149815864790925
RP3betaRecommender,0.6238050964671786,0.6286350771372637,631,0.018361260330448752
RP3betaRecommender,0.8853227049858945,0.45229916583198226,843,0.01830018145985451
RP3betaRecommender,0.6338525341965427,0.5947313765573676,24,0.017962485151117126
RP3betaRecommender,0.6838025348061082,0.2520332280314851,528,0.017440535983242664
RP3betaRecommender,0.7912767632036987,0.7067899778067349,878,0.014741547705192938
RP3betaRecommender,0.39710434379428905,0.45402478621715503,730,0.01873841443815664
RP3betaRecommender,0.35100433542030957,0.4364531362416536,699,0.018635414585330936
RP3betaRecommender,0.563873934498337,0.5365977048487016,760,0.01897682375586276
RP3betaRecommender,0.5567243997882957,0.5699534831944403,762,0.01885154372791321
RP3betaRecommender,0.40217854838843126,0.5477267962924541,761,0.01891294676556283
RP3betaRecommender,0.24417902495722665,0.714929659330351,603,0.01551326635240996
RP3betaRecommender,0.5562468137818973,0.8752048375010271,768,0.008635162453909594
RP3betaRecommender,0.5788035591368692,0.57809887598798,437,0.019030333085071575
RP3betaRecommender,0.4129169943403092,0.68864548730452,423,0.01706238526987724
RP3betaRecommender,0.23644101731572098,0.5582087872417939,298,0.01880436163624993
RP3betaRecommender,0.5670180462561455,0.3820027428794606,468,0.018528492953364922
RP3betaRecommender,0.5186240521405626,0.3259135965310267,571,0.01794381541876826
RP3betaRecommender,0.535103372008611,0.567748836604244,310,0.019156233735619272
RP3betaRecommender,0.5876026359644322,0.6585271482162821,280,0.018121552886945305
RP3betaRecommender,0.43191814859048716,0.5414454928346935,312,0.019268948042848896
RP3betaRecommender,0.48996593849774667,0.6008090140523683,262,0.01884491858466462
RP3betaRecommender,0.44410823199445654,0.43322166423097624,181,0.01949787392110998
RP3betaRecommender,0.44625509049243,0.447442769943454,195,0.019462712563588096
RP3betaRecommender,0.4387095453439321,0.41980098670947424,177,0.019500507187083266
RP3betaRecommender,0.3549783423756726,0.39782562303161734,160,0.019512955924561086
RP3betaRecommender,0.3553340426317301,0.323343502813591,156,0.019346940131314428
RP3betaRecommender,0.2817567915636456,0.4021705279234657,82,0.019514979461040097
RP3betaRecommender,0.2887976860679894,0.40201715987130626,79,0.01950165265951833
RP3betaRecommender,0.27576734267184505,0.2676877685789792,62,0.019487211522298483
RP3betaRecommender,0.18274173729724374,0.4128528800374158,92,0.019334871444061392
RP3betaRecommender,0.31155749886117795,0.34812296589441105,203,0.019231524383040214
RP3betaRecommender,0.1746866826721266,0.16062849433670667,111,0.019116947108951548
RP3betaRecommender,0.380505198163043,0.47826053026393617,222,0.019383149343825956
RP3betaRecommender,0.26697070060894235,0.39373776023353146,16,0.017798286688231513
RP3betaRecommender,0.3186924679913053,0.29440156524374506,143,0.01933310954661004
RP3betaRecommender,0.15576165777419756,0.4862061391455169,76,0.018935284921761424
RP3betaRecommender,0.2188949365803234,0.2192443015576056,51,0.018971820033942013
RP3betaRecommender,0.2624827598915642,0.28037660063465825,56,0.01943198449552667
RP3betaRecommender,0.2777742071574173,0.35808481172279855,136,0.01944272607484258
RP3betaRecommender,0.35075449389096486,0.19571829122282802,372,0.017709310567128864
RP3betaRecommender,0.21083988793828778,0.10586367585210499,233,0.018209894745408645
RP3betaRecommender,0.10282392837282928,0.40861885838586587,177,0.019163050260303505
RP3betaRecommender,0.4672383943066826,0.4219740004224714,105,0.01954802539740134
RP3betaRecommender,0.46866105723008505,0.4270265828959966,113,0.019548183533380777
RP3betaRecommender,0.3782333271635806,0.3722419047008872,107,0.019583736890137145
RP3betaRecommender,0.4708578827868587,0.3754799341413815,110,0.019660732451301493
RP3betaRecommender,0.48489446178588763,0.375775254534912,114,0.019640549254752313
RP3betaRecommender,0.47337004706393554,0.37459808021337615,123,0.019593115742586997
RP3betaRecommender,0.47492853864906215,0.3646474272550972,115,0.019647004378994467
RP3betaRecommender,0.4773395826665513,0.3660615230910964,114,0.019654706809050872
RP3betaRecommender,0.4906094776663404,0.3630855439126069,8,0.015174820731847222
RP3betaRecommender,0.5204533541993662,0.3156490790512393,119,0.01958311316906674
RP3betaRecommender,0.5251887975159969,0.30184924214693326,245,0.018841864327469877
RP3betaRecommender,0.6081857798989411,0.3369216048653264,130,0.019544408205172833
RP3betaRecommender,0.5076989948332181,0.36784419578263355,35,0.01934425043287176
RP3betaRecommender,0.6592120864888364,0.23917550638022395,345,0.017967042506548923
RP3betaRecommender,0.40591352193928565,0.3090694322528227,130,0.019541947335055893
RP3betaRecommender,0.4729793348241938,0.47850490842460797,107,0.019390221915865404
RP3betaRecommender,0.5442303818957123,0.38374287129543433,46,0.01949539578403338
RP3betaRecommender,0.47398756084387544,0.33762780710276996,122,0.0196019313198804
RP3betaRecommender,0.418237044349425,0.3333508734709399,213,0.019148364850788593
RP3betaRecommender,0.3830384429690349,0.29085795074605864,150,0.019365788274411082
RP3betaRecommender,0.5040311007307879,0.2603601899260516,267,0.01854215571370189
RP3betaRecommender,0.46121044601081507,0.4574056867129771,188,0.019446925032024692
RP3betaRecommender,0.5950750817433881,0.36652783584293397,82,0.01967834684793902
RP3betaRecommender,0.6061279702682734,0.37551634113026583,29,0.019134084884067898
RP3betaRecommender,0.69357307004636,0.5188949519076097,85,0.019236536942309014
RP3betaRecommender,0.4857384765385395,0.32757027989226756,64,0.0196062677392308
RP3betaRecommender,0.4249211788976811,0.34961256849785666,67,0.019630639558177437
RP3betaRecommender,0.4848009797373638,0.3483062221979229,65,0.019646125884490752
RP3betaRecommender,0.427677569462253,0.34299783879687434,59,0.019589813738132896
RP3betaRecommender,0.4938255955765322,0.27411050739855913,30,0.01887354949457293
RP3betaRecommender,0.5412206160723488,0.3435145080528249,74,0.019648102209694235
RP3betaRecommender,0.5545704365898116,0.3539488618498594,68,0.01964423629746095
RP3betaRecommender,0.5799806249306212,0.35045043092534345,85,0.01965899191382307
RP3betaRecommender,0.5779716472669014,0.4583463357909248,155,0.01962424513656325
RP3betaRecommender,0.5515159307716044,0.23055911560579775,17,0.01628713287831114
RP3betaRecommender,0.605580330305646,0.35811567504615804,92,0.019642372227383124
RP3betaRecommender,0.6045831784771063,0.39500037807675914,91,0.01964141002765046
RP3betaRecommender,0.6443050265491108,0.39437061626411163,89,0.01963578401013762
RP3betaRecommender,0.5963929916437672,0.3081747537051932,169,0.019190933937515572
RP3betaRecommender,0.6252041370179707,0.35791564302193357,94,0.019659126552384346
RP3betaRecommender,0.7063682922539087,0.35438469370360776,6,0.014095639133099795
RP3betaRecommender,0.6278899769594899,0.2840219704057663,42,0.019476601019713
RP3betaRecommender,0.5661554610383635,0.44131749667629677,44,0.019323482943130663
RP3betaRecommender,0.5346318814033589,0.32026814329746817,484,0.01804177061978801
RP3betaRecommender,0.6481513334954844,0.355445676108981,148,0.019461605593909217
RP3betaRecommender,0.6139380637652525,0.4076040715105404,82,0.019612761822566566
RP3betaRecommender,0.5891511503211372,0.3915187603907246,94,0.019642215727946444
RP3betaRecommender,0.5788099621522638,0.41828566972886105,98,0.01964650772050582
RP3betaRecommender,0.6810500016122812,0.42850839540489133,68,0.01956641737623076
RP3betaRecommender,0.5737222880466722,0.35735225596135134,200,0.019248594923032897
RP3betaRecommender,0.5481119451450862,0.3033703984603034,138,0.019484334205644636
RP3betaRecommender,0.5189341698931718,0.3308541203088995,170,0.019276328949623455
RP3betaRecommender,0.6314395053527337,0.3836839876878032,99,0.019673440161663728
RP3betaRecommender,0.6250747470718269,0.384474667069314,665,0.018258992471703928
RP3betaRecommender,0.4540127586003389,0.4986559986457377,51,0.019077319634679093
RP3betaRecommender,0.6621621704905161,0.4143559305609307,100,0.01963516375400602
RP3betaRecommender,0.5356020532800805,0.37135675076155755,75,0.019616518762237387
RP3betaRecommender,0.5900955814249921,0.34443453292173,131,0.019551154503082206
RP3betaRecommender,0.5597713330634212,0.317324498476243,32,0.01917557307129292
RP3betaRecommender,0.5063445636742683,0.46569284852681225,110,0.019502855595550418
RP3betaRecommender,0.6373564675221021,0.43829023140451084,66,0.019530172770941646
RP3betaRecommender,0.6176769518197008,0.36240411545547646,148,0.019490026556088183
RP3betaRecommender,0.5787003837049438,0.4126729524444372,22,0.0186665145739271
RP3betaRecommender,0.722502512109541,0.2932560670417656,97,0.01958338257469979
RP3betaRecommender,0.6728973496395403,0.38499814647851927,527,0.01835216221915179
RP3betaRecommender,0.5934529915808475,0.39270949019155243,95,0.019647533086084083
RP3betaRecommender,0.5929710137563456,0.3413924749167583,123,0.019589519130852138
RP3betaRecommender,0.5630250752729336,0.3671961202056795,72,0.019652991622157057
RP3betaRecommender,0.5290781760328169,0.38332122714553774,52,0.019460106984064078
