recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.17484273331170153,0.38779975015151935,723,0.01823522252217247
RP3betaRecommender,0.16605643562368233,0.15231910331478124,44,0.01705118536067322
RP3betaRecommender,0.6945768657267133,0.5560827855936235,34,0.018630609793919752
RP3betaRecommender,0.29589149375876345,0.5667795490934336,539,0.018815460102192504
RP3betaRecommender,0.7330098117017249,0.15711021591510577,860,0.016580505166026528
RP3betaRecommender,0.4095838295341352,0.7618610926356574,54,0.014476418140375901
RP3betaRecommender,0.6685611806428963,0.2225885403418868,322,0.017960754048505303
RP3betaRecommender,0.6949763892163385,0.14653265448479244,373,0.017370905322933557
RP3betaRecommender,0.8120978585202882,0.1281261903413504,569,0.01678184780657356
RP3betaRecommender,0.8875514200797711,0.8888765783149271,655,0.006570292185855879
RP3betaRecommender,0.23297221035520366,0.6913443492701337,48,0.016245555290594075
RP3betaRecommender,0.8287578262887477,0.4562862771813896,39,0.019246859902897085
RP3betaRecommender,0.6008554768125716,0.3605305924780574,549,0.018200157275346702
RP3betaRecommender,0.19255744216308024,0.2277866837646399,196,0.018779886633934855
RP3betaRecommender,0.8081853325138085,0.8197306755765797,348,0.011924205928431913
RP3betaRecommender,0.41551365443454447,0.4416171308292274,953,0.018544150710002167
RP3betaRecommender,0.8541377367964061,0.2343096148833065,249,0.018386257553958608
RP3betaRecommender,0.7942966448900776,0.8862769345058716,689,0.007234739701996395
RP3betaRecommender,0.3990266721786855,0.21398770042595328,565,0.017089371338863332
RP3betaRecommender,0.8098770895542337,0.8024682192533736,601,0.011379162861518521
RP3betaRecommender,0.6391640051906073,0.26335239351523687,143,0.019360618729629724
RP3betaRecommender,0.5752772755158696,0.11156226961868887,491,0.016846533031370913
RP3betaRecommender,0.5125420538548959,0.8665043981395679,634,0.009676558773547346
RP3betaRecommender,0.3096417959977861,0.7525512640087191,984,0.013586277918623
RP3betaRecommender,0.5943692315336926,0.7812878150476926,679,0.013147311279261123
RP3betaRecommender,0.673277255587244,0.7558032567450222,665,0.014089673159450587
RP3betaRecommender,0.8547913688849178,0.7454924888245211,83,0.015565594352372267
RP3betaRecommender,0.3851345180197153,0.7562668046858617,559,0.014527248790586506
RP3betaRecommender,0.73405132634852,0.32006756592824975,742,0.017709609176421812
RP3betaRecommender,0.311708306646586,0.8711142100410352,627,0.00950614958104369
RP3betaRecommender,0.4571107514134177,0.7373966046295924,754,0.014960093321810461
RP3betaRecommender,0.8333948145275815,0.8245904592312024,328,0.011640497474038095
RP3betaRecommender,0.2422492912642066,0.10343968388025333,615,0.016362292767753365
RP3betaRecommender,0.4002778999612606,0.26728881527191584,337,0.01825950310119739
RP3betaRecommender,0.6930867032763894,0.7343947355717003,184,0.01613097982639843
RP3betaRecommender,0.7614035023356026,0.8338119572375877,159,0.012141028856337777
RP3betaRecommender,0.2191709210985181,0.6053289686633576,800,0.018097714107146477
RP3betaRecommender,0.8289527667231685,0.7019949494195495,999,0.014089174657854179
RP3betaRecommender,0.27181311400892727,0.6949085045471657,488,0.016394231480241588
RP3betaRecommender,0.1751161735920709,0.19408975488773417,641,0.016787863224326204
RP3betaRecommender,0.7393999891502805,0.69262169300719,18,0.016470615195020553
RP3betaRecommender,0.7720253040506371,0.5973170755234646,805,0.018119782076405484
RP3betaRecommender,0.31596227344763017,0.10451634247546071,25,0.014157743058680563
RP3betaRecommender,0.48323027109197225,0.7231315058417035,664,0.015732442183269617
RP3betaRecommender,0.23781365065044185,0.443998897871552,421,0.018973991814209227
RP3betaRecommender,0.1395543575848003,0.7937478705731885,774,0.011657887434895875
RP3betaRecommender,0.8826552992111524,0.28657687847194036,551,0.017619117704838125
RP3betaRecommender,0.5553984550572427,0.7787183646495582,850,0.012717112175069841
RP3betaRecommender,0.4036334890055914,0.7932572351778779,75,0.013396533477729664
RP3betaRecommender,0.12064694931688145,0.1383940001649048,316,0.017635967259119867
RP3betaRecommender,0.8289486481411545,0.7868237023779162,295,0.013654544654943307
RP3betaRecommender,0.8111875017260782,0.1646194608101036,357,0.017483493201994247
RP3betaRecommender,0.45993771274609274,0.21996765918565436,637,0.01701988683073822
RP3betaRecommender,0.3965467922448186,0.8106812952721255,611,0.012172240616907012
RP3betaRecommender,0.8829405943295358,0.14644902898155623,497,0.017003101847062576
RP3betaRecommender,0.7020651928349482,0.8121847880948212,940,0.009951594783888336
RP3betaRecommender,0.8158270747307832,0.460836906861966,787,0.018498328871812495
RP3betaRecommender,0.5886997412185019,0.494764898926639,703,0.018905448893082363
RP3betaRecommender,0.18862053825543,0.883140260059675,191,0.00944830116276333
RP3betaRecommender,0.5065160783504554,0.1419292863733942,152,0.018958891889472463
RP3betaRecommender,0.37137847781191835,0.7569989833574065,940,0.013609283410213944
RP3betaRecommender,0.23399990605626925,0.6888002695452855,764,0.016195995998247517
RP3betaRecommender,0.47007298179207335,0.37794872866189155,955,0.01806696495691858
RP3betaRecommender,0.26513029594180315,0.8133993433305567,260,0.012195119489762998
RP3betaRecommender,0.1591087723444442,0.49575638842565917,957,0.018547680219189167
RP3betaRecommender,0.8688490973949529,0.3811895095905633,56,0.019639946877274325
RP3betaRecommender,0.8712031047517129,0.38677965127592995,437,0.018411253036630926
RP3betaRecommender,0.4060270951963011,0.16526994139534085,707,0.016575708759105676
RP3betaRecommender,0.1856979111601448,0.5835246969694613,707,0.018353604627622505
RP3betaRecommender,0.5415804789659447,0.1298570369424942,807,0.016359077191230392
RP3betaRecommender,0.7531856215076289,0.607080392480392,491,0.018679455796703562
RP3betaRecommender,0.10103527154472652,0.31860994494551004,938,0.017438847063754842
RP3betaRecommender,0.6655383243038101,0.3439121761020225,94,0.019625012481343768
RP3betaRecommender,0.5457552251650041,0.19422575869087508,600,0.016894277146884757
RP3betaRecommender,0.8728127623157078,0.1551124100930749,801,0.016688001028530308
RP3betaRecommender,0.30485319880933803,0.492990029559226,527,0.019046051456099403
RP3betaRecommender,0.5416925699914292,0.8027390898169166,995,0.011084539193097162
RP3betaRecommender,0.442727533425221,0.7798636407665775,577,0.013655977521809219
RP3betaRecommender,0.6227910759954354,0.3063562044681552,709,0.01763522009513024
RP3betaRecommender,0.8748364732521319,0.11872513441755653,471,0.016948931335128103
RP3betaRecommender,0.2562683118200534,0.1010832714650717,607,0.01637479496655375
RP3betaRecommender,0.868912396223361,0.2547752122645559,195,0.018782650188565553
RP3betaRecommender,0.6399721207754021,0.18756960919251375,946,0.0166740719610753
RP3betaRecommender,0.28152017736723056,0.25739586534409287,139,0.019282198793642843
RP3betaRecommender,0.3989571297806619,0.5921616664174463,30,0.018019183735998475
RP3betaRecommender,0.1355474517765508,0.6443587403471086,898,0.016906826569601078
RP3betaRecommender,0.5196727924580891,0.5388811287194372,362,0.019277041451605227
RP3betaRecommender,0.251954877068885,0.8613177586945184,471,0.010038375418849726
RP3betaRecommender,0.15688497412300162,0.3653923778479401,453,0.018500363143561366
RP3betaRecommender,0.34046119215911175,0.6666482295907405,887,0.01695029392343593
RP3betaRecommender,0.5546884186348215,0.3083514960543483,380,0.018230531355958684
RP3betaRecommender,0.3302079582324871,0.30233307720278046,329,0.018500235624478396
RP3betaRecommender,0.12891995302556644,0.2720020722644228,380,0.018054875218580423
RP3betaRecommender,0.3361146681898326,0.16126763907605907,204,0.018569476702730875
RP3betaRecommender,0.5464611844738031,0.3740322880613304,635,0.01823680359310512
RP3betaRecommender,0.8731905247659756,0.478411191063023,932,0.018267531361072994
RP3betaRecommender,0.88080043186243,0.2629299161288049,507,0.01752022727527816
RP3betaRecommender,0.5387944301254467,0.11348284147295527,85,0.018988252444502973
RP3betaRecommender,0.8873976299732567,0.6306943412947847,36,0.01780378606504058
RP3betaRecommender,0.34049421553554093,0.16706557726920856,533,0.01690595267243109
RP3betaRecommender,0.8068137965447575,0.8826372212239167,757,0.006977409589046128
RP3betaRecommender,0.6031243476062846,0.30439524432743187,700,0.017609211429087723
RP3betaRecommender,0.32481257077191417,0.45806249204264204,366,0.019149341604059827
RP3betaRecommender,0.240639094655554,0.6764827954928747,203,0.016743704093282456
RP3betaRecommender,0.4222531428029469,0.511386922934752,929,0.018804057300297296
RP3betaRecommender,0.28496792983110486,0.2680114672224191,558,0.017477736944759518
RP3betaRecommender,0.46722336274859144,0.4543252057527113,112,0.019514540812445552
RP3betaRecommender,0.6783330642610836,0.6417504883970513,194,0.018451324716502602
RP3betaRecommender,0.17489686634688964,0.32819589341825606,963,0.017558839173118106
RP3betaRecommender,0.42594799231900105,0.5989436158285637,170,0.018609737868972284
RP3betaRecommender,0.3941686599390831,0.7296882391571975,331,0.015745234401199484
RP3betaRecommender,0.16770339213222255,0.7494020926930434,123,0.013962236049706492
RP3betaRecommender,0.25973229249641083,0.15996871740121055,952,0.016253821079487422
RP3betaRecommender,0.8120243486466954,0.5041225524892938,749,0.018643123198528868
RP3betaRecommender,0.42369741213404166,0.7234421060879249,322,0.016002247269238212
RP3betaRecommender,0.4502603877089312,0.717356473378877,720,0.015816506484807685
RP3betaRecommender,0.3867337615588644,0.37072883121699574,582,0.018298119678706894
RP3betaRecommender,0.5465326649930143,0.5067199604523291,92,0.019271399198033248
RP3betaRecommender,0.7485487996728867,0.24782880087257234,265,0.018348978924608614
RP3betaRecommender,0.4634161150304035,0.27625768046891463,560,0.017550615638829873
RP3betaRecommender,0.5138998531580988,0.7532958737786147,438,0.015092149177928949
RP3betaRecommender,0.8131682901303764,0.8364805211164441,361,0.01105613237818003
RP3betaRecommender,0.629379771502024,0.27238066487652646,495,0.01765365649528497
RP3betaRecommender,0.7904941245230653,0.39908502571550397,235,0.019159462096353132
RP3betaRecommender,0.28377225962014774,0.1872347256207621,547,0.016947672964086422
RP3betaRecommender,0.26931756384917654,0.6513852796032917,908,0.017167913761294288
RP3betaRecommender,0.3829355040992827,0.6466636444985353,775,0.017667395545433996
RP3betaRecommender,0.846700990919473,0.18627913121501455,687,0.016862056128148693
RP3betaRecommender,0.1160413552333866,0.5945643842222977,923,0.017813698672900863
RP3betaRecommender,0.19442369357747158,0.31132465904414347,967,0.017436354612923793
RP3betaRecommender,0.8924634966178547,0.23376074651220238,328,0.01786073528581197
RP3betaRecommender,0.8650322762477701,0.4631694232740088,719,0.018462931630974715
RP3betaRecommender,0.8585199585847936,0.6746617555214065,909,0.015410723823426445
RP3betaRecommender,0.5405013008950225,0.7746269351619278,741,0.013364403176716845
RP3betaRecommender,0.5656686193982206,0.825155566515077,839,0.010519430107041561
RP3betaRecommender,0.16465834612624308,0.1845379888841685,116,0.01921170748448942
RP3betaRecommender,0.3785641558682994,0.7282614929887108,345,0.01572924684790007
RP3betaRecommender,0.7393960377729474,0.4501955035374924,236,0.019369800285174227
RP3betaRecommender,0.764005044435721,0.4920650769390521,568,0.01891033399251409
RP3betaRecommender,0.42229791944419215,0.8538457224735941,963,0.009174541070526279
RP3betaRecommender,0.2428719414168101,0.2957008745788602,149,0.01928615365662573
RP3betaRecommender,0.1295100872904527,0.6686705921635957,125,0.01649877681953341
RP3betaRecommender,0.1288832253646044,0.42155863156446904,440,0.018783438594029252
RP3betaRecommender,0.5570757119758615,0.8679612521659067,829,0.008718998598804284
RP3betaRecommender,0.5537411316625878,0.8407462977982142,696,0.010460381860741141
RP3betaRecommender,0.8487409042092084,0.11847043039936303,171,0.01869881714453032
RP3betaRecommender,0.7865694204204294,0.8047577751485547,88,0.01337762375719654
RP3betaRecommender,0.8502921379085228,0.37788549776889113,71,0.019648263801768238
RP3betaRecommender,0.2922340323519127,0.6716457965590961,886,0.01670183832042874
RP3betaRecommender,0.5193698968416313,0.7677178151044829,26,0.014575584003091752
