recommender,alpha,betaMAP
RP3beta_ItemKNNCF,0.4849740136599969,0.16389112588521115,0.02078812096529019
RP3beta_ItemKNNCF,0.6115349710213588,0.19408862694031714,0.020769536297459357
RP3beta_ItemKNNCF,0.9423354977193279,0.46241247889815473,0.02084116660053312
RP3beta_ItemKNNCF,0.3825243421331943,0.773173228493352,0.020812688556046594
RP3beta_ItemKNNCF,0.8786686676262649,0.024217501630486193,0.020117688811066955
RP3beta_ItemKNNCF,0.2935037813569339,0.06623496749413726,0.020665375668599075
RP3beta_ItemKNNCF,0.4479795117048867,0.8051634408066772,0.020826424284662165
RP3beta_ItemKNNCF,0.008149590537088192,0.312325421963738,0.020586642367979746
RP3beta_ItemKNNCF,0.8694876347079623,0.3770580537214092,0.02082310371401101
RP3beta_ItemKNNCF,0.4163613628314219,0.8074524681073058,0.020816255625262747
RP3beta_ItemKNNCF,0.9848647496533303,0.5742763798097344,0.020858741811538087
RP3beta_ItemKNNCF,0.9911209242958211,0.5875047991563526,0.0208594610942827
RP3beta_ItemKNNCF,0.7167280075191309,0.60950620428653,0.02090139779574861
RP3beta_ItemKNNCF,0.7083650632194692,0.5835794356808206,0.02089557086320608
RP3beta_ItemKNNCF,0.679922606428021,0.9561363373730333,0.020848404567987446
RP3beta_ItemKNNCF,0.7229423968738516,0.6631866962653779,0.020878796580981338
RP3beta_ItemKNNCF,0.7762337285087175,0.4569740801177332,0.020858612532259114
RP3beta_ItemKNNCF,0.576194008069551,0.6882354415361851,0.020881479929931418
RP3beta_ItemKNNCF,0.1730884040468983,0.9331390069287612,0.020676452424113066
RP3beta_ItemKNNCF,0.8180475056921763,0.33222449703342033,0.020819998212876348
RP3beta_ItemKNNCF,0.6024950300945927,0.5474071547095382,0.02087850230124412
RP3beta_ItemKNNCF,0.5998427797107246,0.6741587924655531,0.020874294486510292
RP3beta_ItemKNNCF,0.5607655627831452,0.6897692219331444,0.020875109195839108
RP3beta_ItemKNNCF,0.7285260365525353,0.7151389404936151,0.020878576974399692
RP3beta_ItemKNNCF,0.668439518095229,0.6100993218427471,0.020879416066594592
RP3beta_ItemKNNCF,0.5339507779934997,0.47001121634061493,0.02089640427444164
RP3beta_ItemKNNCF,0.3012220304910619,0.4109463174510315,0.020853316143683864
RP3beta_ItemKNNCF,0.509423313757158,0.539451192039593,0.020870010172587314
RP3beta_ItemKNNCF,0.8101223503372259,0.2512149767126348,0.020769250570765712
RP3beta_ItemKNNCF,0.5240582516469556,0.49100650295993525,0.020881807759453686
RP3beta_ItemKNNCF,0.6746054989655061,0.4241213176530256,0.020880336452023557
RP3beta_ItemKNNCF,0.5080746971098464,0.5006416050266687,0.020878486746676205
RP3beta_ItemKNNCF,0.5368537777238507,0.50196112060752,0.020880612999813197
RP3beta_ItemKNNCF,0.3719045596701923,0.6296926719311013,0.0208318979392724
RP3beta_ItemKNNCF,0.6401468450954135,0.36826188503396334,0.020853498570154907
RP3beta_ItemKNNCF,0.7563730256071267,0.158716352353168,0.020632935589789004
RP3beta_ItemKNNCF,0.45015298781374374,0.7534900387647344,0.02083753772648707
RP3beta_ItemKNNCF,0.8619349045464751,0.8854091401724956,0.020869165491844175
RP3beta_ItemKNNCF,0.35709104257535573,0.45301862218871375,0.020865764525583853
RP3beta_ItemKNNCF,0.4702961823335357,0.5233552287761215,0.020876839785109458
RP3beta_ItemKNNCF,0.26397552764082116,0.30117044662013437,0.020874520895157605
RP3beta_ItemKNNCF,0.5806739363714627,0.6277199630007932,0.0208821532721723
RP3beta_ItemKNNCF,0.6151238122870699,0.6303823317567674,0.02086969285521895
RP3beta_ItemKNNCF,0.5468583424912483,0.5801713482491028,0.020871113620413828
RP3beta_ItemKNNCF,0.7119022194045151,0.8451469527882716,0.020881864067968648
RP3beta_ItemKNNCF,0.7070949791609216,0.7953153564907882,0.020874477571869828
RP3beta_ItemKNNCF,0.6454781850326925,0.8604965959969373,0.020862233527515556
RP3beta_ItemKNNCF,0.7760938331661864,0.9835422177122348,0.020866293484747566
RP3beta_ItemKNNCF,0.8467941901564421,0.7479593256948578,0.020893672428934206
RP3beta_ItemKNNCF,0.9059318627480574,0.734754931637774,0.020893026651290416
RP3beta_ItemKNNCF,0.9142734344028559,0.7472717011919239,0.020895021781879203
RP3beta_ItemKNNCF,0.9033247531674835,0.7448420800189676,0.02089573054304048
RP3beta_ItemKNNCF,0.9470477876994065,0.7609348302152052,0.020893544799118632
RP3beta_ItemKNNCF,0.8426096200051095,0.8142093513668603,0.02088085972139021
RP3beta_ItemKNNCF,0.9027827433056119,0.6995317013614362,0.0208925695894093
RP3beta_ItemKNNCF,0.9627662871018824,0.6445453189547938,0.020886446497303052
RP3beta_ItemKNNCF,0.9104976687767923,0.8974892892116337,0.020878073959818694
RP3beta_ItemKNNCF,0.803293646873932,0.5682191248265392,0.020899420544483058
RP3beta_ItemKNNCF,0.9963706908638759,0.5639911952359409,0.020850478599748024
RP3beta_ItemKNNCF,0.8094847335293438,0.588538885267499,0.020897611398762308
RP3beta_ItemKNNCF,0.8086050147705599,0.5910745036948813,0.020895970272538783
RP3beta_ItemKNNCF,0.8015673582775722,0.5969640589038191,0.020894055734054017
RP3beta_ItemKNNCF,0.756240044346626,0.5278657147637141,0.02089647603792989
RP3beta_ItemKNNCF,0.7482360105216384,0.5454186671940418,0.020896443695661005
RP3beta_ItemKNNCF,0.7621754116678906,0.4754447154626174,0.02087956219349345
RP3beta_ItemKNNCF,0.7446022079275676,0.5394924001650506,0.020899403758668587
RP3beta_ItemKNNCF,0.7454172995252486,0.5369074418168843,0.02090112632818246
RP3beta_ItemKNNCF,0.6943828021173595,0.5222734326953955,0.02089617488462549
RP3beta_ItemKNNCF,0.7342759145341294,0.4298422529890859,0.020859087989923048
RP3beta_ItemKNNCF,0.7464109885166456,0.5419658227292845,0.02089646828633052
RP3beta_ItemKNNCF,0.7890016676849851,0.6635335581223682,0.020900551441891114
RP3beta_ItemKNNCF,0.8053851077823119,0.5550501961560529,0.02089346152056494
RP3beta_ItemKNNCF,0.7822873948494716,0.6681404312897724,0.0209016512432615
RP3beta_ItemKNNCF,0.8394086588233798,0.6459214563349788,0.02089230462195595
RP3beta_ItemKNNCF,0.7883891884871111,0.6767515088041657,0.020898669847037574
RP3beta_ItemKNNCF,0.7821062002287426,0.658010076914102,0.02090059924133762
RP3beta_ItemKNNCF,0.020672488325703953,0.6778338041292064,0.020589568401547475
RP3beta_ItemKNNCF,0.8740076886825872,0.7086543972650505,0.02089275209714445
RP3beta_ItemKNNCF,0.6476735671466076,0.6657021486448705,0.02086821248935139
RP3beta_ItemKNNCF,0.7883741520557257,0.6144079898522834,0.020890929683005936
RP3beta_ItemKNNCF,0.8367996403512823,0.721087631987383,0.020897418503066794
RP3beta_ItemKNNCF,0.7857823584365767,0.6607827396695563,0.020900394475733015
RP3beta_ItemKNNCF,0.6870731262241763,0.658839296250323,0.020879020012267296
RP3beta_ItemKNNCF,0.7791036795929371,0.6899767489763651,0.020892591659937444
RP3beta_ItemKNNCF,0.7153125827567094,0.6179195318867884,0.02089819883825232
RP3beta_ItemKNNCF,0.8263383850119049,0.655397397370638,0.02089208584248216
RP3beta_ItemKNNCF,0.8770193204601701,0.7751687663152672,0.020892708024571157
RP3beta_ItemKNNCF,0.7294570533658192,0.6334673924808466,0.020895825417772757
RP3beta_ItemKNNCF,0.6606412474796951,0.4983658206012562,0.020898531953749955
RP3beta_ItemKNNCF,0.7859970119682871,0.006503124753960643,0.02001822023477802
RP3beta_ItemKNNCF,0.8560533798956548,0.6058064525669486,0.020898630178409944
RP3beta_ItemKNNCF,0.8643787766978026,0.5683865400876384,0.020886249113536596
RP3beta_ItemKNNCF,0.776152202061299,0.599779074194563,0.020892159838103136
RP3beta_ItemKNNCF,0.8214675330025757,0.6803782988218413,0.020894024666286388
RP3beta_ItemKNNCF,0.6259023150083461,0.6098338115053913,0.020877128386119066
RP3beta_ItemKNNCF,0.8597834251207023,0.5690563124364189,0.0208820349721852
RP3beta_ItemKNNCF,0.934330997156691,0.5134212030658857,0.020839267172615816
RP3beta_ItemKNNCF,0.7612714419864757,0.7113597124840096,0.020880103831172937
RP3beta_ItemKNNCF,0.7361308764335341,0.6470207555663295,0.0208963708672331
RP3beta_ItemKNNCF,0.7074153855954436,0.5754666096466537,0.020893900431904828
RP3beta_ItemKNNCF,0.8864228863159357,0.7242397204282263,0.020895388927333086
RP3beta_ItemKNNCF,0.666306236110759,0.4036979265098848,0.020870049216161975
RP3beta_ItemKNNCF,0.6639353653646549,0.5085559239252045,0.020892527028910295
RP3beta_ItemKNNCF,0.7928731093999668,0.4838758738441439,0.02087491210872848
RP3beta_ItemKNNCF,0.693908931782411,0.4646007245816291,0.02088708944919235
RP3beta_ItemKNNCF,0.7651208013894434,0.62634262693996,0.02089207289119201
RP3beta_ItemKNNCF,0.7207694292698922,0.5482521888719954,0.02089362756270097
RP3beta_ItemKNNCF,0.829984908981804,0.44162256451840887,0.020835404445920733
RP3beta_ItemKNNCF,0.8523302297799846,0.6769335056331621,0.020891181483067085
RP3beta_ItemKNNCF,0.8022756469563624,0.5849564476623179,0.020896155718392664
RP3beta_ItemKNNCF,0.7363279846471527,0.4879635647546149,0.020881420889097304
RP3beta_ItemKNNCF,0.7157358334989261,0.6092306186599857,0.02090151147423495
RP3beta_ItemKNNCF,0.768600514614983,0.5348899738110143,0.02089379763029182
RP3beta_ItemKNNCF,0.7472203639605243,0.6047095437888063,0.020894576993193904
RP3beta_ItemKNNCF,0.6803193434733734,0.6627444161647857,0.020877339981929834
RP3beta_ItemKNNCF,0.5875892996681135,0.6348277009686467,0.02088257230260146
RP3beta_ItemKNNCF,0.8221635009786737,0.5567502559198599,0.02089448344493323
RP3beta_ItemKNNCF,0.7908805900931767,0.6937980725972825,0.020896059172549348
RP3beta_ItemKNNCF,0.719542452736113,0.7777815161190917,0.02088246698289964
RP3beta_ItemKNNCF,0.658724055461969,0.15496591449769398,0.020684173987381264
RP3beta_ItemKNNCF,0.6939294452144313,0.6171167009245083,0.02089008525357272
RP3beta_ItemKNNCF,0.7146385979431555,0.5893817885677962,0.020895656457063965
RP3beta_ItemKNNCF,0.7768241593194646,0.6473837435547446,0.020895286421120846
RP3beta_ItemKNNCF,0.7371632275341126,0.6176614034129536,0.020897759158910362
RP3beta_ItemKNNCF,0.7638509393603103,0.6711343658058919,0.02089580460225084
RP3beta_ItemKNNCF,0.8114599871749104,0.5307123601333017,0.02088165671541613
RP3beta_ItemKNNCF,0.701945617604113,0.6968934219851379,0.02087690225196377
RP3beta_ItemKNNCF,0.63355498086837,0.603679045478364,0.02088353590189111
RP3beta_ItemKNNCF,0.8443499036068258,0.5663889122504236,0.02089065808964735
RP3beta_ItemKNNCF,0.7521509810268611,0.6377392806710637,0.020900723237489146
RP3beta_ItemKNNCF,0.7522143080996618,0.7334736527287693,0.020877789478745634
RP3beta_ItemKNNCF,0.7880389066224252,0.6366744225522575,0.020893891920601437
RP3beta_ItemKNNCF,0.7254552986440257,0.6198908997478763,0.020901488728441997
RP3beta_ItemKNNCF,0.7461939140589875,0.6519750811828258,0.020895366474306846
RP3beta_ItemKNNCF,0.820839644987157,0.5860325723052388,0.02090295807949623
RP3beta_ItemKNNCF,0.8847704921524912,0.6658010549027956,0.0208970773827947
RP3beta_ItemKNNCF,0.8166360398510415,0.5833034034300143,0.020903421770721176
RP3beta_ItemKNNCF,0.8119404286402911,0.5787662369540373,0.02089966277323982
RP3beta_ItemKNNCF,0.8202729409428099,0.5855857846294089,0.020902099130692183
RP3beta_ItemKNNCF,0.8218315663527177,0.5899035479625846,0.020902149918689685
RP3beta_ItemKNNCF,0.8281091418077264,0.5824017346684671,0.0208986766641774
RP3beta_ItemKNNCF,0.8122535609091153,0.5623017302986579,0.02089360937079483
RP3beta_ItemKNNCF,0.8014468739696679,0.5926047219008947,0.02089488931818646
RP3beta_ItemKNNCF,0.8421295731151669,0.6208021887521148,0.020895275148604887
RP3beta_ItemKNNCF,0.7693092984696267,0.6338755375804105,0.02089549622204585
RP3beta_ItemKNNCF,0.8134061047786403,0.5784013288970192,0.020898876941037908
RP3beta_ItemKNNCF,0.8670140258887516,0.5542412701035904,0.020875750653878894
RP3beta_ItemKNNCF,0.8282147358109148,0.5997441392070412,0.02089857747821058
RP3beta_ItemKNNCF,0.793002192583447,0.5251644124282364,0.02088201394455566
RP3beta_ItemKNNCF,0.4079600130282419,0.6455734939602654,0.020844477871390113
RP3beta_ItemKNNCF,0.7752156829156742,0.573198587940869,0.02089488931818646
RP3beta_ItemKNNCF,0.7312232084741119,0.5368958809283569,0.020893833722032906
RP3beta_ItemKNNCF,0.7568749396578834,0.6186448025313132,0.02089498440898442
RP3beta_ItemKNNCF,0.8010245552026534,0.5457089740784434,0.02089262894122627
RP3beta_ItemKNNCF,0.7817912709741528,0.5951966589952343,0.020894563840803973
RP3beta_ItemKNNCF,0.834399830688782,0.5640245906422982,0.020895010107743278
RP3beta_ItemKNNCF,0.7501394228807615,0.511824823528111,0.0208924443210828
RP3beta_ItemKNNCF,0.7247020550126116,0.6315009637840737,0.020897151307438477
RP3beta_ItemKNNCF,0.11220332787238901,0.6954348413417877,0.020662859510471858
RP3beta_ItemKNNCF,0.8518344752669758,0.6518368381661158,0.020894074092017812
RP3beta_ItemKNNCF,0.8059755831213399,0.5938887732554488,0.020895915063209817
RP3beta_ItemKNNCF,0.8158996043503145,0.5733258770236824,0.020899192757941137
RP3beta_ItemKNNCF,0.8207842322964986,0.6081898996315164,0.020893053857984623
RP3beta_ItemKNNCF,0.773709138965259,0.550931946569825,0.020899818902036096
RP3beta_ItemKNNCF,0.7721340507467521,0.550987540399888,0.020900703610799015
RP3beta_ItemKNNCF,0.7772933524644167,0.620225286466413,0.020893405952881375
RP3beta_ItemKNNCF,0.7631813933051664,0.5443557535500676,0.020900590775918475
RP3beta_ItemKNNCF,0.7632521677431875,0.5136753123553733,0.020894209343166006
RP3beta_ItemKNNCF,0.7041893108007184,0.54670247330488,0.02089102948044225
RP3beta_ItemKNNCF,0.7883409190079025,0.666787144313127,0.020901352178770777
RP3beta_ItemKNNCF,0.7376873186418906,0.6733743167931161,0.020879416066594592
RP3beta_ItemKNNCF,0.7896987526016938,0.7111406635069777,0.02088498252788396
RP3beta_ItemKNNCF,0.7633694458546629,0.6634657183148686,0.020895367326857556
RP3beta_ItemKNNCF,0.7885756139618613,0.5850878840413827,0.02089363438694888
RP3beta_ItemKNNCF,0.7211240903365961,0.6353648454094217,0.020895419882117173
