recommender,alpha,beta,MAP
Slim_RP3beta_ItemKNNCF,0.9521213210368437,0.406795649739937,0.020818705446466638
Slim_RP3beta_ItemKNNCF,0.5770567415988471,0.7516936486787752,0.02086462065591702
Slim_RP3beta_ItemKNNCF,0.5902966012278165,0.02635506292292278,0.0201923790090257
Slim_RP3beta_ItemKNNCF,0.992242302253545,0.04802848689284267,0.02021507816701716
Slim_RP3beta_ItemKNNCF,0.5216746576248388,0.691345774589936,0.02086334357567857
Slim_RP3beta_ItemKNNCF,0.8983968240510813,0.7642488139051377,0.020901638455409658
Slim_RP3beta_ItemKNNCF,0.8098462330488102,0.02069434817819682,0.0201110192673503
Slim_RP3beta_ItemKNNCF,0.9412203249900671,0.3388529751825081,0.02079975871929503
Slim_RP3beta_ItemKNNCF,0.735156091984045,0.4770906617394217,0.02088019725959467
Slim_RP3beta_ItemKNNCF,0.3846305115458424,0.91412512543723,0.02079374741127613
Slim_RP3beta_ItemKNNCF,0.3497754646625223,0.922400770825366,0.020772965809149748
Slim_RP3beta_ItemKNNCF,0.7365522278133948,0.2665132614568694,0.020802060944832456
Slim_RP3beta_ItemKNNCF,0.4351149096547533,0.8042438811345171,0.020821826243240832
Slim_RP3beta_ItemKNNCF,0.3440346260449826,0.7840840739079015,0.0208057697566518
Slim_RP3beta_ItemKNNCF,0.07389753268811772,0.31047763158013086,0.02071613822733941
Slim_RP3beta_ItemKNNCF,0.866844229153323,0.27610616954757206,0.02077001908918603
Slim_RP3beta_ItemKNNCF,0.7989673059482891,0.8144019797045033,0.020870201348802325
Slim_RP3beta_ItemKNNCF,0.16447278425357215,0.86253100354462,0.020679030290978243
Slim_RP3beta_ItemKNNCF,0.9782211683334457,0.4600426416701381,0.020840752306544422
Slim_RP3beta_ItemKNNCF,0.5340991640183346,0.41999463459232134,0.02089390399166836
Slim_RP3beta_ItemKNNCF,0.6671651832078538,0.6466066056539542,0.02088003052979501
Slim_RP3beta_ItemKNNCF,0.9385907284539202,0.08664549670121768,0.020402219559734355
Slim_RP3beta_ItemKNNCF,0.8824306911377541,0.22170404666448573,0.02070256860421889
Slim_RP3beta_ItemKNNCF,0.1358993681249696,0.9888445172031879,0.020657527372115403
Slim_RP3beta_ItemKNNCF,0.8884216308764771,0.5420064117153259,0.020875384582796457
Slim_RP3beta_ItemKNNCF,0.007301774706775732,0.8625224932851548,0.020569393440657818
Slim_RP3beta_ItemKNNCF,0.8459928654690637,0.7457536358749414,0.02089504311368716
Slim_RP3beta_ItemKNNCF,0.5136806763342718,0.6486945965781251,0.02086994376815848
Slim_RP3beta_ItemKNNCF,0.9698820359624885,0.9176637597592425,0.02088318930225608
Slim_RP3beta_ItemKNNCF,0.059754406663670045,0.8148419749235412,0.020614189791953265
Slim_RP3beta_ItemKNNCF,0.8170378607880863,0.2916988699629385,0.02080018898975931
Slim_RP3beta_ItemKNNCF,0.17341768378319666,0.2296450387916864,0.020864729936254406
Slim_RP3beta_ItemKNNCF,0.28156485453067837,0.7765923875803625,0.02076647132000406
Slim_RP3beta_ItemKNNCF,0.9746835533117187,0.3419482554906972,0.020798341120689293
Slim_RP3beta_ItemKNNCF,0.9237244794085995,0.7812467618667219,0.020902158994566256
Slim_RP3beta_ItemKNNCF,0.2052392615675237,0.3149822119659691,0.020853270666962426
Slim_RP3beta_ItemKNNCF,0.03531961058000399,0.3539597134350446,0.020637549039492106
Slim_RP3beta_ItemKNNCF,0.9250735422695371,0.20159021249938147,0.020644786497609778
Slim_RP3beta_ItemKNNCF,0.26413186666559507,0.8491136530789234,0.020749451562663796
Slim_RP3beta_ItemKNNCF,0.5926897356207625,0.7506261859129083,0.02086856390703998
Slim_RP3beta_ItemKNNCF,0.36096611443772275,0.4991082642659287,0.020850789761811876
Slim_RP3beta_ItemKNNCF,0.33351640018408146,0.365393688220667,0.020878192059599787
Slim_RP3beta_ItemKNNCF,0.7281266607419854,0.13422883467627222,0.020612784340270463
Slim_RP3beta_ItemKNNCF,0.8367785506146928,0.27886691099147365,0.020780226627838887
Slim_RP3beta_ItemKNNCF,0.19306589370260485,0.18920041409715005,0.020880246124353463
Slim_RP3beta_ItemKNNCF,0.21308127381715625,0.14489842515824258,0.02089515270094266
Slim_RP3beta_ItemKNNCF,0.0447718780292109,0.33874145102911646,0.020657154364126056
Slim_RP3beta_ItemKNNCF,0.7173844442848568,0.3739473368080476,0.020837901849830958
Slim_RP3beta_ItemKNNCF,0.2854653766141939,0.5997420278565981,0.020813759591417836
Slim_RP3beta_ItemKNNCF,0.5661649674574617,0.4563289987052457,0.02089329536512949
Slim_RP3beta_ItemKNNCF,0.6730172532451595,0.0884053870087379,0.02050212704274939
Slim_RP3beta_ItemKNNCF,0.6401928426769689,0.5035606484312726,0.020893978337923846
Slim_RP3beta_ItemKNNCF,0.775325698214108,0.06105029884943447,0.02034879645812143
Slim_RP3beta_ItemKNNCF,0.8628538081098225,0.36984028306532346,0.020822694045907485
Slim_RP3beta_ItemKNNCF,0.6483897598277371,0.8505777319783598,0.020862538040899773
Slim_RP3beta_ItemKNNCF,0.34876931500349606,0.286959638581202,0.02089432929624439
Slim_RP3beta_ItemKNNCF,0.39794071668023456,0.14237892036688438,0.02080043998485778
Slim_RP3beta_ItemKNNCF,0.08704910772824159,0.6238782542055287,0.020660369129174794
Slim_RP3beta_ItemKNNCF,0.9021704464928648,0.8427362339631382,0.020880162352838277
Slim_RP3beta_ItemKNNCF,0.2949847669451815,0.7795057696996551,0.02077319190864726
Slim_RP3beta_ItemKNNCF,0.1649528534951079,0.4168357117878879,0.020785995094333935
Slim_RP3beta_ItemKNNCF,0.2139338425766545,0.9972472059217314,0.02070107058310616
Slim_RP3beta_ItemKNNCF,0.4809587914135456,0.14842943798243746,0.020764927807247587
Slim_RP3beta_ItemKNNCF,0.8073127856875913,0.9740358583301666,0.02087861601700002
