recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.07971090325241849,0.03337705616786462,89,0.020279965357568538
SLIMElasticNetRecommender,0.09413013185102818,0.09952469136326499,163,0.01938025538427003
SLIMElasticNetRecommender,0.031134127310870223,0.09064077679005943,110,0.020386248132261614
SLIMElasticNetRecommender,0.045011455632107,0.018019686587461402,195,0.02033035799565488
SLIMElasticNetRecommender,0.040102712729289204,0.09008040928460612,225,0.02042503899130656
SLIMElasticNetRecommender,0.08914964169614197,0.017459060412808772,256,0.02046278889232045
SLIMElasticNetRecommender,0.031068605492310615,0.049977725939766245,124,0.020236739943961288
SLIMElasticNetRecommender,0.017757990219500197,0.06684970754324682,133,0.019696051465447312
SLIMElasticNetRecommender,0.037354309394489936,0.07215587765622451,284,0.020522161755500982
SLIMElasticNetRecommender,0.045766398244917995,0.04436126080266972,266,0.020573893904094375
SLIMElasticNetRecommender,0.06864859119483362,0.04165942977361184,296,0.02041761789655534
SLIMElasticNetRecommender,0.056546886190693896,0.06761206822516537,298,0.020323707750768288
SLIMElasticNetRecommender,0.05891127919902298,0.06729478844500637,247,0.020307559921731704
SLIMElasticNetRecommender,0.014764838075901468,0.05490032771236805,51,0.01820924206191508
SLIMElasticNetRecommender,0.045355381299585336,0.07476946128944892,268,0.02043485818624737
SLIMElasticNetRecommender,0.027457593411715674,0.03780324643582111,210,0.020165308856177667
SLIMElasticNetRecommender,0.06353819070905073,0.07770071227972276,272,0.020113442257709623
SLIMElasticNetRecommender,0.048397080012894785,0.02835240299253912,234,0.020561316505019384
SLIMElasticNetRecommender,0.07143045360983818,0.02478973777673817,231,0.020485593099062397
SLIMElasticNetRecommender,0.049315149451987825,0.02721774311480683,180,0.020479100766127727
SLIMElasticNetRecommender,0.051823120410390354,0.04537009169484576,161,0.02047216669961394
SLIMElasticNetRecommender,0.0353447662668416,0.05732679129360677,280,0.020572126611593612
SLIMElasticNetRecommender,0.026780161438633206,0.05778395422931678,241,0.02040344902046795
SLIMElasticNetRecommender,0.039989610738217565,0.010045272854345116,212,0.020139072966737424
SLIMElasticNetRecommender,0.021588005340379544,0.03256175120563485,264,0.019859557914344277
SLIMElasticNetRecommender,0.03562910502166964,0.05721080325681729,240,0.020551789424348346
SLIMElasticNetRecommender,0.04744991037184742,0.051374072891653064,270,0.020531624757617137
SLIMElasticNetRecommender,0.010692066232200613,0.04410315657679815,285,0.018503618899162997
SLIMElasticNetRecommender,0.0559573182956247,0.03320833502519514,210,0.02052535379488502
SLIMElasticNetRecommender,0.07713219660934356,0.027771105831182794,253,0.020456418156341544
SLIMElasticNetRecommender,0.04234190783891517,0.06177605067381747,221,0.02050163416115529
SLIMElasticNetRecommender,0.03692730973543037,0.05995093264014619,238,0.020544461098709443
SLIMElasticNetRecommender,0.032184134866535694,0.049355745171712054,286,0.020527117866288847
SLIMElasticNetRecommender,0.023141598997526873,0.04148935799718932,194,0.019963995852637865
SLIMElasticNetRecommender,0.03336774881391141,0.03735195453354319,248,0.020422588363831276
SLIMElasticNetRecommender,0.051894397828512163,0.053148782104583306,154,0.020410650977134476
SLIMElasticNetRecommender,0.03555951894219137,0.019422488701099062,188,0.02014479442513976
SLIMElasticNetRecommender,0.06149782316209057,0.0814854215774983,227,0.020121686239929895
SLIMElasticNetRecommender,0.04314702530471399,0.06256154133503274,261,0.020515141848461357
SLIMElasticNetRecommender,0.09435563099940869,0.08682144134685013,202,0.01955390218755432
SLIMElasticNetRecommender,0.027065524753157325,0.04786919852757583,275,0.020385880326791336
SLIMElasticNetRecommender,0.038294100471191445,0.05780832779992744,239,0.020528398305192718
SLIMElasticNetRecommender,0.04680003310643515,0.05985232217250737,256,0.020502878820618384
SLIMElasticNetRecommender,0.03712843595362457,0.09977180796916399,230,0.02042926689807302
SLIMElasticNetRecommender,0.031275339616971376,0.06514033081684326,289,0.0205758534727407
SLIMElasticNetRecommender,0.029806176564154616,0.05435926667887103,300,0.020514415904951937
SLIMElasticNetRecommender,0.09993405552025078,0.06958010825703616,282,0.019691334642808027
SLIMElasticNetRecommender,0.021306455523159774,0.06357791347491486,290,0.020305482568214028
SLIMElasticNetRecommender,0.04185986190817616,0.07379874593541802,75,0.020290228620158248
SLIMElasticNetRecommender,0.05019007832952453,0.06596490857579147,277,0.02043827276177694
SLIMElasticNetRecommender,0.016002290563521416,0.02087418686143333,256,0.01884799575139832
SLIMElasticNetRecommender,0.034190523080813634,0.05805772500406869,240,0.020548580038109863
