recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,22,1896,rp3beta,tfidf,0.017736354329003067
ItemKNNCFRecommender,76,1626,rp3beta,bm25plus,0.016687224910638357
ItemKNNCFRecommender,58,1682,rp3beta,bm25plus,0.016966652641091366
ItemKNNCFRecommender,145,1662,rp3beta,tfidf,0.015919615819180225
ItemKNNCFRecommender,123,662,rp3beta,bm25plus,0.01603743208119077
ItemKNNCFRecommender,41,446,rp3beta,bm25plus,0.017484735617008935
ItemKNNCFRecommender,123,1220,rp3beta,bm25plus,0.016042390182090232
ItemKNNCFRecommender,103,346,rp3beta,tfidf,0.016513239538367325
ItemKNNCFRecommender,191,1232,rp3beta,tfidf,0.015469418215118056
ItemKNNCFRecommender,104,1501,rp3beta,bm25plus,0.016302742630213255
ItemKNNCFRecommender,12,874,rp3beta,tfidf,0.01802954298315114
ItemKNNCFRecommender,11,908,rp3beta,tfidf,0.018049175010350065
ItemKNNCFRecommender,15,837,rp3beta,tfidf,0.017974262039907266
ItemKNNCFRecommender,10,918,rp3beta,tfidf,0.01805490824264208
ItemKNNCFRecommender,49,105,rp3beta,tfidf,0.01752129111160505
ItemKNNCFRecommender,79,1047,rp3beta,tfidf,0.016730873649523956
ItemKNNCFRecommender,34,647,rp3beta,tfidf,0.01764496256521649
ItemKNNCFRecommender,178,1265,rp3beta,tfidf,0.015578782698732424
ItemKNNCFRecommender,65,969,rp3beta,tfidf,0.016934820179194465
ItemKNNCFRecommender,25,734,rp3beta,tfidf,0.017792054448992036
ItemKNNCFRecommender,86,408,rp3beta,tfidf,0.016731828878747117
ItemKNNCFRecommender,10,890,rp3beta,tfidf,0.01804317389778692
ItemKNNCFRecommender,10,1091,rp3beta,tfidf,0.018036449290558587
ItemKNNCFRecommender,33,1387,rp3beta,tfidf,0.017529470215164118
ItemKNNCFRecommender,48,514,rp3beta,tfidf,0.017406002254840295
ItemKNNCFRecommender,29,890,rp3beta,tfidf,0.017651559860068083
ItemKNNCFRecommender,59,1084,rp3beta,tfidf,0.017065537384933497
ItemKNNCFRecommender,41,815,rp3beta,tfidf,0.017445143391680868
ItemKNNCFRecommender,10,559,rp3beta,tfidf,0.018226530246683106
ItemKNNCFRecommender,26,174,rp3beta,tfidf,0.01791173110776572
ItemKNNCFRecommender,158,552,rp3beta,tfidf,0.01571431010887821
ItemKNNCFRecommender,10,666,rp3beta,tfidf,0.018155885684279057
ItemKNNCFRecommender,18,615,rp3beta,tfidf,0.017970193814543418
ItemKNNCFRecommender,23,1946,rp3beta,tfidf,0.017710682045065658
ItemKNNCFRecommender,45,268,rp3beta,bm25plus,0.017547791202068064
ItemKNNCFRecommender,67,709,rp3beta,tfidf,0.01696035223855324
ItemKNNCFRecommender,38,757,rp3beta,bm25plus,0.017323867975995444
ItemKNNCFRecommender,22,523,rp3beta,tfidf,0.017916185331878266
ItemKNNCFRecommender,53,985,rp3beta,bm25plus,0.017030901699506263
ItemKNNCFRecommender,31,1136,rp3beta,tfidf,0.017595838560459157
ItemKNNCFRecommender,135,1764,rp3beta,bm25plus,0.015962794765411646
ItemKNNCFRecommender,13,959,rp3beta,tfidf,0.017988370049677932
ItemKNNCFRecommender,11,777,rp3beta,tfidf,0.018071265907838224
ItemKNNCFRecommender,20,608,rp3beta,tfidf,0.017934735819605977
ItemKNNCFRecommender,20,432,rp3beta,tfidf,0.018050598869028687
