recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,25,381,jaccard,bm25plus,0.01817151301701873
ItemKNNCFRecommender,100,1008,jaccard,bm25,0.018554241226511007
ItemKNNCFRecommender,110,1006,rp3beta,bm25plus,0.016204636017944113
ItemKNNCFRecommender,39,755,cosine,tfidf,0.01749237446301145
ItemKNNCFRecommender,154,1740,rp3beta,tfidf,0.015826455774290624
ItemKNNCFRecommender,199,1671,dice,bm25,0.018546775373874322
ItemKNNCFRecommender,165,1987,jaccard,bm25plus,0.018410965435518737
ItemKNNCFRecommender,199,1195,rp3beta,bm25,0.015002072987607251
ItemKNNCFRecommender,157,1950,asym,tfidf,0.01758362995204214
ItemKNNCFRecommender,60,1829,cosine,bm25plus,0.01797148765378055
ItemKNNCFRecommender,99,255,jaccard,bm25,0.01836704908314116
ItemKNNCFRecommender,96,1413,dice,bm25,0.018516586653832
ItemKNNCFRecommender,124,1439,dice,bm25,0.018522335711861966
ItemKNNCFRecommender,71,658,dice,bm25,0.01845114663790949
ItemKNNCFRecommender,193,1517,asym,bm25,0.018226316936538884
ItemKNNCFRecommender,132,1015,dice,bm25,0.018492330635739577
ItemKNNCFRecommender,71,718,jaccard,bm25,0.01854004199493724
ItemKNNCFRecommender,137,1231,dice,bm25,0.018494338458474712
ItemKNNCFRecommender,176,1664,jaccard,bm25,0.01860415767330201
ItemKNNCFRecommender,177,876,jaccard,tfidf,0.017582187026501755
ItemKNNCFRecommender,85,501,jaccard,bm25,0.01849240717036874
ItemKNNCFRecommender,180,1642,jaccard,bm25,0.018611575293782972
ItemKNNCFRecommender,173,1261,jaccard,bm25,0.018574725805078764
ItemKNNCFRecommender,176,1607,jaccard,bm25,0.018615078224005724
ItemKNNCFRecommender,183,1601,jaccard,bm25,0.018615539695022956
ItemKNNCFRecommender,151,1571,jaccard,bm25,0.018610931479314256
ItemKNNCFRecommender,180,1805,asym,bm25,0.018248682663209677
ItemKNNCFRecommender,185,1361,jaccard,bm25,0.018602899284264063
ItemKNNCFRecommender,143,1577,cosine,bm25plus,0.01795142801667841
ItemKNNCFRecommender,15,1900,jaccard,tfidf,0.01769929684399085
ItemKNNCFRecommender,163,1706,jaccard,bm25plus,0.018398927588206524
ItemKNNCFRecommender,148,1543,jaccard,bm25,0.018609610029492046
ItemKNNCFRecommender,186,1324,jaccard,bm25,0.01860001350536666
ItemKNNCFRecommender,122,1142,jaccard,bm25,0.018580025983463207
ItemKNNCFRecommender,167,1567,jaccard,bm25,0.01861530768237711
ItemKNNCFRecommender,170,1473,rp3beta,bm25,0.015260450919936717
ItemKNNCFRecommender,191,1815,jaccard,bm25,0.018611048214252534
