recommender,TopK,shrink,MAP
ItemKNNCFRecommender,238,190,0.004814926439399015
ItemKNNCFRecommender,432,126,0.004863903194460602
ItemKNNCFRecommender,412,37,0.0048116129517417556
ItemKNNCFRecommender,261,144,0.004861705952645325
ItemKNNCFRecommender,26,85,0.004487411096893671
ItemKNNCFRecommender,126,64,0.004720753477693307
ItemKNNCFRecommender,458,167,0.004838308852299526
ItemKNNCFRecommender,138,126,0.0047374854153668395
ItemKNNCFRecommender,201,123,0.004865280876828735
ItemKNNCFRecommender,363,37,0.004773493156237998
ItemKNNCFRecommender,285,97,0.004831937438533041
ItemKNNCFRecommender,490,133,0.004845015139818603
ItemKNNCFRecommender,174,111,0.004819679296694621
ItemKNNCFRecommender,340,161,0.0048539774189341155
ItemKNNCFRecommender,31,74,0.0045004212359309025
ItemKNNCFRecommender,179,113,0.004825759899044377
ItemKNNCFRecommender,320,200,0.004784729051884284
ItemKNNCFRecommender,399,164,0.004864893128273097
ItemKNNCFRecommender,393,168,0.004870327483030124
ItemKNNCFRecommender,195,180,0.004778275388424181
ItemKNNCFRecommender,85,148,0.004758791023503444
ItemKNNCFRecommender,401,168,0.00486644999747376
ItemKNNCFRecommender,380,175,0.004854238855460264
ItemKNNCFRecommender,309,150,0.004825413275335552
ItemKNNCFRecommender,230,190,0.00480365529388403
ItemKNNCFRecommender,495,139,0.004831194253801403
ItemKNNCFRecommender,442,158,0.004848070128438768
ItemKNNCFRecommender,346,120,0.004895962950038013
ItemKNNCFRecommender,351,16,0.004687298414813411
ItemKNNCFRecommender,394,184,0.004832595436082002
ItemKNNCFRecommender,291,199,0.0047768947685669855
ItemKNNCFRecommender,248,96,0.004854705916220463
ItemKNNCFRecommender,429,115,0.004875685463071654
ItemKNNCFRecommender,428,117,0.004866094561297761
ItemKNNCFRecommender,464,99,0.004869504986093928
ItemKNNCFRecommender,466,100,0.004866911183255843
ItemKNNCFRecommender,427,84,0.004862079013755677
ItemKNNCFRecommender,369,49,0.004817514367258988
ItemKNNCFRecommender,468,88,0.004857188094474351
ItemKNNCFRecommender,337,62,0.004826608833382099
ItemKNNCFRecommender,447,132,0.004865413063836337
ItemKNNCFRecommender,471,104,0.004853742419809483
ItemKNNCFRecommender,418,103,0.004862960260473029
ItemKNNCFRecommender,472,120,0.0048707534189435155
ItemKNNCFRecommender,500,126,0.004839933283748518
ItemKNNCFRecommender,379,119,0.004889297787365746
ItemKNNCFRecommender,374,121,0.004894417830793584
ItemKNNCFRecommender,372,119,0.0048974170071216525
ItemKNNCFRecommender,327,136,0.004877268769673837
ItemKNNCFRecommender,273,138,0.004830812380223885
ItemKNNCFRecommender,321,130,0.0048765432098765455
ItemKNNCFRecommender,319,128,0.004864534754608041
ItemKNNCFRecommender,355,110,0.0049009008691442615
ItemKNNCFRecommender,366,107,0.0049003104338436335
ItemKNNCFRecommender,364,108,0.00489607163713315
ItemKNNCFRecommender,348,110,0.004895604576372953
