recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.3998222506388247,0.27077940248404353,265,0.0027653596940971047
RP3betaRecommender,0.625234942510392,0.3057643650818428,168,0.002827665277316709
RP3betaRecommender,0.2504994224526901,0.61258791301141,455,0.001878734646453466
RP3betaRecommender,0.14533185462249484,0.7135790081421891,478,0.0013921317300480721
RP3betaRecommender,0.8362371856092856,0.422596935135349,33,0.0024784681494596276
RP3betaRecommender,0.2675232144923173,0.2123504976876608,127,0.002656901257792038
RP3betaRecommender,0.20819226251787804,0.4618406198538443,445,0.002558532514477517
RP3betaRecommender,0.44927692243604056,0.4740650463351064,490,0.002452548473559316
RP3betaRecommender,0.16268208784663607,0.5046903210303062,405,0.0023093255505145503
RP3betaRecommender,0.35117332355071695,0.6803591790243815,458,0.001547073451120699
RP3betaRecommender,0.7122246335375559,0.11019739882082857,250,0.0029137004659855153
RP3betaRecommender,0.6773666344181147,0.1083192491511989,242,0.002950086373304806
RP3betaRecommender,0.6569886287134197,0.10379752421637872,307,0.002922944868626509
RP3betaRecommender,0.6020590771515336,0.19846599398576487,333,0.0029361313980794984
RP3betaRecommender,0.5808803559576283,0.22451262386675092,338,0.0029212312345542387
RP3betaRecommender,0.799766640558461,0.35349922028789543,203,0.0028811414186123707
RP3betaRecommender,0.5103558636545432,0.17367373935752473,369,0.0029043484809363955
RP3betaRecommender,0.736861917393073,0.8326539889637223,93,0.0010694459813359882
RP3betaRecommender,0.8966803575247306,0.38625543651799166,283,0.002822847122324269
RP3betaRecommender,0.5534305623256586,0.16152863493622763,216,0.002861284779855655
RP3betaRecommender,0.7067409666952137,0.30308139502997505,379,0.0029562108861101864
RP3betaRecommender,0.6980711686394241,0.27900766844725355,381,0.002991075270800289
RP3betaRecommender,0.7301291486898562,0.28000854234800704,392,0.0029977069578153996
RP3betaRecommender,0.7474997909585785,0.30671272949645956,404,0.0029725249898565143
RP3betaRecommender,0.8009333794186356,0.34503368761002595,402,0.002852463022389435
RP3betaRecommender,0.8965470922943192,0.5583103775639348,427,0.0018652714765224425
RP3betaRecommender,0.7610998946762084,0.25825332654874533,359,0.0029471970172008886
RP3betaRecommender,0.8425244563537649,0.38876379219181845,407,0.0026882615297603644
RP3betaRecommender,0.5334525015732583,0.30310246985093575,309,0.002869414936126786
RP3betaRecommender,0.46863913324320755,0.260828041181646,497,0.0028872582469600286
RP3betaRecommender,0.647296870584838,0.8947709190815463,386,0.00038084940921889027
RP3betaRecommender,0.7045767802768593,0.29863873553971926,358,0.0029906065188791743
RP3betaRecommender,0.7693896012897595,0.33639679400733297,348,0.002900414038582123
RP3betaRecommender,0.6913767409515168,0.4218337273033838,423,0.0026156434042762453
RP3betaRecommender,0.6259170814795717,0.2648358196342824,293,0.0028887720851314947
RP3betaRecommender,0.8402352268010763,0.30612098546473443,450,0.0029335801581154013
RP3betaRecommender,0.744416173193606,0.15726726867390312,332,0.0030021255210062312
RP3betaRecommender,0.8052820389550994,0.15373021701378944,318,0.0030324560756396514
RP3betaRecommender,0.7998041809070874,0.16737348609639652,320,0.0030452814355796517
