recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.21928952704977417,0.5642330337592711,439,0.004413859308374086
RP3betaRecommender,0.34812030894464663,0.12829897806532353,422,0.004799087498399073
RP3betaRecommender,0.4004483979200891,0.47218474815929035,467,0.004848974875068594
RP3betaRecommender,0.6391489097791567,0.3507590522444701,496,0.005002908114167277
RP3betaRecommender,0.8720618084930558,0.44360274445565817,426,0.004792578022646871
RP3betaRecommender,0.2870633489542492,0.6197199390487108,381,0.004029782614059774
RP3betaRecommender,0.18186672226636694,0.4947974496695474,280,0.0046251352713711155
RP3betaRecommender,0.19086147370526768,0.8030903888692456,279,0.0021093403927070495
RP3betaRecommender,0.8623314453264574,0.8733974737988858,135,0.001278333550707525
RP3betaRecommender,0.508858390897639,0.2313056284889349,332,0.004946179325482014
RP3betaRecommender,0.6272207603513599,0.30635238029355405,42,0.0046439968886115976
RP3betaRecommender,0.5810956533548235,0.20389852589090526,199,0.005036542363879687
RP3betaRecommender,0.6535021117100541,0.3129095024480053,173,0.0050642370107171295
RP3betaRecommender,0.7161581974163507,0.12982772824734168,172,0.005002872864298576
RP3betaRecommender,0.49170074160108374,0.2578332342884258,177,0.004999803188233114
RP3betaRecommender,0.7475455711244492,0.39812786881191065,97,0.004988746479419365
RP3betaRecommender,0.5308595496132754,0.20657350700637686,226,0.005039412290689211
RP3betaRecommender,0.4369500740327185,0.6846119813300597,228,0.003673979251927295
RP3betaRecommender,0.761242790156262,0.3410212265377102,66,0.0049323701894210354
RP3betaRecommender,0.5403720118611948,0.1972452361330117,328,0.004931530067550505
RP3betaRecommender,0.6655430399119963,0.2849695168349067,18,0.003927431682816989
RP3betaRecommender,0.5812395565143333,0.18843924837954398,215,0.005016564500797235
RP3betaRecommender,0.5741515230831057,0.11022478385063261,144,0.004993684398525617
RP3betaRecommender,0.45054262584277116,0.3928061343105218,224,0.004945897326532449
RP3betaRecommender,0.8052911846855564,0.18466157704565897,118,0.00508989304014842
RP3betaRecommender,0.8098818762112487,0.17631857170909485,110,0.005047854634241487
RP3betaRecommender,0.8121823121491049,0.30253506828472276,108,0.005084106186704452
RP3betaRecommender,0.7818551266328915,0.31430258515739745,74,0.005021904855904408
RP3betaRecommender,0.8266176582700603,0.3834749787443018,139,0.005028379081787921
RP3betaRecommender,0.7060179277833005,0.5847020073422442,85,0.004383473921559653
RP3betaRecommender,0.682914509100241,0.2743670560957483,10,0.0031132684030752123
RP3betaRecommender,0.8072818170184051,0.1583352821392931,112,0.005046635576282477
RP3betaRecommender,0.8923298181374134,0.25205731196385633,118,0.005078357520618238
RP3betaRecommender,0.8976974508909912,0.439104399024156,158,0.005013756261257921
RP3betaRecommender,0.12164266842612897,0.23852311224328787,51,0.00436439199263983
RP3betaRecommender,0.8311756181729788,0.3444877032913327,121,0.005093849837909351
RP3betaRecommender,0.8306963536323362,0.3566775325041167,132,0.005088013047151395
RP3betaRecommender,0.8406263252208082,0.45761381214645735,41,0.004605621531559799
RP3betaRecommender,0.7527289491807372,0.5437731642926941,266,0.004630569626128151
RP3betaRecommender,0.33320783717629676,0.3600416665053148,190,0.004945350953567695
RP3betaRecommender,0.8415042411168708,0.4316893962898504,129,0.004952988425118109
RP3betaRecommender,0.8968196192840214,0.25569568829891853,118,0.005076512777489904
RP3betaRecommender,0.7935497851927465,0.3322203731858647,93,0.005026032028030694
RP3betaRecommender,0.8662211960465056,0.28818137077772077,154,0.005117805061176144
RP3betaRecommender,0.8513113683065024,0.48482335131572907,156,0.004857408406153691
RP3betaRecommender,0.7048398781200483,0.2896418970334341,64,0.004957133222178746
RP3betaRecommender,0.7365511727362136,0.13743254240082042,197,0.0049760447767332044
RP3betaRecommender,0.7845682862742386,0.5227783462788294,247,0.004752531234321157
RP3betaRecommender,0.871557949301333,0.36728283771575543,94,0.005034632995992093
RP3betaRecommender,0.8263373401957126,0.41601004544801146,500,0.0048422979624401005
RP3betaRecommender,0.6150347055062144,0.2243811073032796,462,0.004937854481492052
RP3betaRecommender,0.876367753605957,0.31939984631393264,123,0.005102697554951602
RP3betaRecommender,0.8636413057838098,0.3321175927978237,152,0.005089158667883958
RP3betaRecommender,0.8686327412933972,0.3502574968355706,150,0.005074151036287385
RP3betaRecommender,0.8583933601853149,0.3256855882434064,169,0.005096026517301219
RP3betaRecommender,0.7593306404617788,0.22127065140837204,170,0.005093893900245215
RP3betaRecommender,0.781201324816623,0.6832048450175232,176,0.0036212689482731787
RP3betaRecommender,0.7405483232159018,0.22394423687048315,297,0.005048703568579209
RP3betaRecommender,0.7729302417317403,0.14786330567621958,210,0.004994530395374272
RP3betaRecommender,0.7241818255466088,0.2733376787357803,168,0.005113234328202129
RP3betaRecommender,0.24571203495432292,0.27692211877160866,243,0.004906106099754781
RP3betaRecommender,0.7251612201524504,0.10569928242403001,167,0.005015771378751605
RP3betaRecommender,0.8648364477127373,0.182586063269001,189,0.005120939362000863
RP3betaRecommender,0.8780693927304956,0.31399785155930066,187,0.0051309209498194555
RP3betaRecommender,0.8751551721217536,0.21922361576246538,183,0.0051620700837889276
RP3betaRecommender,0.8720852013586058,0.16984272233533707,189,0.005083744875550327
RP3betaRecommender,0.8996075770492931,0.3027089003179557,206,0.005104527610634646
RP3betaRecommender,0.8948182230295084,0.26608497759249705,211,0.005129367018107853
RP3betaRecommender,0.8804141077739008,0.2611848199827142,209,0.005133602877329277
RP3betaRecommender,0.8072212395655145,0.20464696270132995,235,0.005054910482958444
