recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.41713953059831643,0.3921297588783106,153,0.04772991455240903
RP3betaRecommender,0.7822626612552347,0.2799000445874751,144,0.046833394743306264
RP3betaRecommender,0.8480207602528699,0.7193462224425001,372,0.04095795902492655
RP3betaRecommender,0.8614217913828625,0.251816828612794,174,0.045534800446830795
RP3betaRecommender,0.8012682342814804,0.7076443234422194,101,0.041406617363231216
RP3betaRecommender,0.370571763318124,0.7545225104157425,132,0.033960738557275015
RP3betaRecommender,0.2895753873044583,0.33834713774104697,169,0.04737378057339366
RP3betaRecommender,0.7439305384817929,0.13811831738879443,470,0.04051355552046413
RP3betaRecommender,0.5145118530120105,0.22040097077993473,266,0.044333957668058685
RP3betaRecommender,0.4709257692344314,0.22513374511883946,77,0.04857150167853927
RP3betaRecommender,0.44184789222026044,0.1643099800498301,453,0.04159914493923353
RP3betaRecommender,0.38026444085531497,0.2642279064988936,338,0.04400980073925911
RP3betaRecommender,0.2841121826467887,0.16756254999825115,332,0.04344833081844875
RP3betaRecommender,0.8226602672375888,0.6163641272876548,168,0.04555900621118015
RP3betaRecommender,0.7301677456468865,0.6841281947203294,478,0.0435539559719737
RP3betaRecommender,0.48550629424562564,0.7039730024131036,461,0.040458754430290844
RP3betaRecommender,0.2904769962046503,0.7463087117337988,144,0.03358423693722142
RP3betaRecommender,0.11290150600978094,0.8748676092929669,316,0.02015882519797406
RP3betaRecommender,0.3650314556826463,0.33210483515361694,308,0.04515349568960486
RP3betaRecommender,0.8922086657088383,0.89797373481685,208,0.021800993671848467
RP3betaRecommender,0.1754233650834773,0.3170415382264177,221,0.04635016405235639
RP3betaRecommender,0.3681396251161022,0.6835579734890735,67,0.039860796750535096
RP3betaRecommender,0.40242735901401316,0.8246722603890991,305,0.02748030494438004
RP3betaRecommender,0.8835477352647518,0.8148446576695115,133,0.030643708109625554
RP3betaRecommender,0.2746711065728696,0.7136697857651351,261,0.03634554368296073
RP3betaRecommender,0.7488307297065157,0.4752475246421852,66,0.047899208688633864
RP3betaRecommender,0.2660816097896662,0.19069238927400944,477,0.04184553783439209
RP3betaRecommender,0.4332159607642011,0.16079522505212385,163,0.046938990653986996
RP3betaRecommender,0.4439928477288313,0.23754812694414973,295,0.044335492917383174
RP3betaRecommender,0.30300060279135543,0.7513717898768041,221,0.03348648541951786
RP3betaRecommender,0.1613341119307588,0.1219679472150797,73,0.04465396211297088
RP3betaRecommender,0.16893000847083617,0.1217941758354475,356,0.0429439648617983
RP3betaRecommender,0.5992265811762463,0.3119379109231749,397,0.04320486951842888
RP3betaRecommender,0.5592732724801411,0.5064663983281584,72,0.047214860336175724
RP3betaRecommender,0.16886754255699427,0.8971671596011734,305,0.01941944181258848
