recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.4225023219918954,0.1447298395630174,85,0.01907630165547803
RP3betaRecommender,0.12851294806999444,0.5831509809286227,155,0.017914395694874744
RP3betaRecommender,0.14549961478627207,0.5509195711532011,39,0.01806648431465582
RP3betaRecommender,0.5818186503704149,0.8160883321016469,179,0.012022129472924832
RP3betaRecommender,0.43142585230108843,0.2893273494995995,168,0.018880951257173026
RP3betaRecommender,0.13867310871398475,0.3735981286334278,325,0.01859006833330757
RP3betaRecommender,0.5851922786535371,0.1658932751158119,84,0.019248856179403744
RP3betaRecommender,0.8497468479358292,0.8852306131959464,185,0.008178871665089602
RP3betaRecommender,0.5439406720112304,0.6734510531688231,156,0.01722362132814336
RP3betaRecommender,0.7647653383822731,0.5328215691543273,148,0.01920458861790865
RP3betaRecommender,0.13968232684596452,0.26627176779363,54,0.0191988554676765
RP3betaRecommender,0.5618669699280366,0.5705613964630744,241,0.019010659801121464
RP3betaRecommender,0.2421155782979496,0.7120414439034166,358,0.015325502835296828
RP3betaRecommender,0.14911629180922414,0.3519151443038495,299,0.01858971434265288
RP3betaRecommender,0.22119626202364212,0.36065640051555203,214,0.01887797324055465
RP3betaRecommender,0.29577637384185895,0.3711293966436472,306,0.018722153671651504
RP3betaRecommender,0.13330465201949704,0.5356725035911596,344,0.018607743517476433
RP3betaRecommender,0.5556760005028281,0.8565590964128473,285,0.009973107948045427
RP3betaRecommender,0.2493360196225811,0.5061814921339461,366,0.018939509552503914
RP3betaRecommender,0.21602121261319082,0.5260628550681837,223,0.018920219871275352
RP3betaRecommender,0.44095183173054353,0.8764277597871488,169,0.009819005889355635
RP3betaRecommender,0.44109721493472376,0.3865437149067249,119,0.019292438235186615
RP3betaRecommender,0.8380898078130066,0.317759592659858,52,0.019525307896951425
RP3betaRecommender,0.1957213264796871,0.6475772566819096,499,0.01708643028332032
RP3betaRecommender,0.7610765209195423,0.3057635030367697,409,0.017946453388234137
RP3betaRecommender,0.6624327040572862,0.4069789261635808,304,0.018983172145843216
RP3betaRecommender,0.6527265582606122,0.19373407471858883,131,0.018853413031801207
RP3betaRecommender,0.3158113636508946,0.899603789660561,369,0.008377510992439954
RP3betaRecommender,0.1421068888204764,0.5484810243580024,289,0.01855302105738746
RP3betaRecommender,0.7865857556015751,0.3990224294732174,407,0.01862838922639798
RP3betaRecommender,0.24118310443697794,0.16954763940834383,94,0.01906446638062777
RP3betaRecommender,0.8688713821007745,0.23117966849612134,100,0.01933062427469427
RP3betaRecommender,0.21041871596193157,0.11985449899971323,312,0.01736021676964276
RP3betaRecommender,0.11146428963417368,0.5082018887168084,65,0.018370298198731153
RP3betaRecommender,0.18524661689447477,0.35441106928134614,331,0.01849564085793896
RP3betaRecommender,0.8570537540981321,0.30543638626488456,315,0.018215975130003056
RP3betaRecommender,0.13772415750460854,0.3729642701166841,150,0.018872691475231206
RP3betaRecommender,0.3490120031167573,0.4636428061139738,480,0.01879483600680613
RP3betaRecommender,0.8420747950195103,0.5281813860821962,324,0.01920098690347016
RP3betaRecommender,0.80304759247898,0.8813318840595286,61,0.009289226097764355
RP3betaRecommender,0.1316022618108746,0.366357400831287,35,0.018902406087590876
RP3betaRecommender,0.1061262893749495,0.8750705130340273,34,0.009566859657127284
RP3betaRecommender,0.7598592282039552,0.8700600130195699,120,0.009834371705920287
RP3betaRecommender,0.28775532321385344,0.6111736875726018,450,0.018157484261463585
RP3betaRecommender,0.19218623978030636,0.8809318479267869,35,0.009624908505590064
RP3betaRecommender,0.8328743188659075,0.43582103990218346,77,0.01944693361682612
RP3betaRecommender,0.4794434778676757,0.5534794068651753,120,0.018900636134317677
RP3betaRecommender,0.5591703542754076,0.3259135414948292,160,0.019192783310521135
RP3betaRecommender,0.7842944618801562,0.6863515123715491,336,0.016965357987565297
RP3betaRecommender,0.40793585202054117,0.5254996396965441,128,0.018962271713487567
RP3betaRecommender,0.7383410634985343,0.5215685554021173,96,0.019163302818964802
RP3betaRecommender,0.847996039366351,0.4891291372625032,199,0.019371694682498997
RP3betaRecommender,0.7239275452652549,0.7039188889862069,452,0.01611421836241332
RP3betaRecommender,0.4213084611825928,0.731525633898225,394,0.015005105706479472
RP3betaRecommender,0.3670921469633953,0.24951930632930638,34,0.01870811204235046
RP3betaRecommender,0.8696450225046103,0.5312178920128895,106,0.019126206845917523
RP3betaRecommender,0.7987696116093059,0.7955124289754423,205,0.012440244879122568
RP3betaRecommender,0.6065361873265976,0.24606516814325774,200,0.018638437691277238
RP3betaRecommender,0.6550577234688311,0.8197816790931632,116,0.012161908957349577
RP3betaRecommender,0.8704179391598763,0.8649515182412887,57,0.00971684493561119
RP3betaRecommender,0.37318172916543824,0.2085475009014336,460,0.017179085932449156
RP3betaRecommender,0.2671770896412309,0.7807517220623117,324,0.012652923962807464
RP3betaRecommender,0.7644213919789985,0.6694588148592105,452,0.01729724951134347
RP3betaRecommender,0.5173334170908891,0.5510171346716799,374,0.019139042284839793
RP3betaRecommender,0.2795952021293886,0.24748013321899212,249,0.01825972200683152
RP3betaRecommender,0.8454423696711614,0.5536316138447044,14,0.017791339927674035
RP3betaRecommender,0.46631564792992586,0.1437183425976074,301,0.017507210920743154
RP3betaRecommender,0.3919649765678356,0.13011453840816786,294,0.017445183891590086
RP3betaRecommender,0.8894620769409242,0.5731748959914864,414,0.018913524016299876
RP3betaRecommender,0.5997123415975585,0.7536544897442098,278,0.014461359204244175
RP3betaRecommender,0.8785263561270055,0.4481478398008898,105,0.019373696883609088
