iter	Logloss
0	0.3823332577
1	0.2427595224
2	0.1792708257
3	0.1448048708
4	0.1264838663
5	0.1158823328
6	0.1090372626
7	0.1043749189
8	0.1017160611
9	0.09989737895
10	0.09864668952
11	0.09783364253
12	0.09728613106
13	0.09688481631
14	0.09664995171
15	0.09637062016
16	0.09620418179
17	0.09604965324
18	0.09595362345
19	0.09587802361
20	0.09581369888
21	0.09572804666
22	0.09567766511
23	0.09564930273
24	0.09561686149
25	0.0955782783
26	0.09555653091
27	0.09554534074
28	0.09553583231
29	0.09550738725
